division,date,value
Statewide,2021-04,4.422998491105624
Statewide,2021-05,3.232998125761594
Statewide,2021-06,2.274803865401085
Statewide,2021-07,4.486120759795726
Statewide,2021-08,4.663650271200695
Statewide,2021-09,4.291429427124737
Statewide,2021-10,5.001532828718646
Statewide,2021-11,2.22398420882512
Statewide,2021-12,11.648037287937784
Statewide,2022-01,1.90147288713843
Statewide,2022-02,1.8567249057262971
Statewide,2022-03,3.786579870028352
Statewide,2022-04,5.128374136751577
Statewide,2022-05,5.201764137510621
Statewide,2022-06,3.438153864764584
Statewide,2022-07,3.0285888909671614
Statewide,2022-08,2.4706737461799326
Statewide,2022-09,3.041728697208999
Statewide,2022-10,4.167074663194034
Statewide,2022-11,4.191740714510696
Statewide,2022-12,6.214327671314998
Statewide,2023-01,4.265763511506704
Statewide,2023-02,13.632493725325276
Statewide,2023-03,7.232890134764387
Statewide,2023-04,7.381867726733207
Statewide,2023-05,5.213104058563978
Statewide,2023-06,3.0895495634617167
Statewide,2023-07,4.2704251264964315
Statewide,2023-08,2.6858657399282873
Statewide,2023-09,2.1038396857209514
Statewide,2023-10,1.7090473147256338
Statewide,2023-11,7.020193921877218
Statewide,2023-12,3.9636522777521983
Statewide,2024-01,5.545881925123754
Statewide,2024-02,3.260044494071319
Statewide,2024-03,1.816153761591425
Statewide,2024-04,6.245419410183258
Statewide,2024-05,7.304561070757636
Statewide,2024-06,2.6226249531810324
Statewide,2024-07,3.0203925976020876
Statewide,2024-08,10.108739486249286
Statewide,2024-09,3.809559266450433
Statewide,2024-10,4.5141819456187
Statewide,2024-11,6.427593866117181
Statewide,2024-12,1.2133280259295538
Statewide,2025-01,6.094081301670786
Statewide,2025-02,1.2278553377319972
Statewide,2025-03,4.223866479683852
Statewide,2025-04,4.1261141460381605
Statewide,2025-05,3.1758546796958047
Statewide,2025-06,3.358493740752865
Statewide,2025-07,3.0596231744559645
Statewide,2025-08,1.9710958436090744
Statewide,2025-09,2.8713719721630513
Statewide,2025-10,3.5545834487648515
Statewide,2025-11,5.2730636429522395
Statewide,2025-12,3.059613251589633
Statewide,2026-01,5.059751821123721
Statewide,2026-02,8.123481862496629
Statewide,2026-03,22.289707995859303
