division,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
Hawaiʻi::Hilo,20.349269823081897,6.45953662984365,6.339339249916393,4.611706383479847,9.265997774611655,4.981204590476534,12.483241543025747,4.386405351064578,27.280719885372832,9.700596607805352,20.241227461475425,11.80882733783675,23.64012953495636,10.510957437089932,7.293111374784988,3.7045352325757186,12.475306624181819,9.692533684666946,11.353598254614287,19.531603990823577,4.902209434967486,18.54534572343042,2.1469745982888386,4.401137971652035,7.902595064747267,14.621908999456455,13.912889170109084,7.1176437616231265,8.27573095168094,4.5617644974295395,5.582368001297829,7.445507224427639,10.09982044366019,8.743573173857051,1.949387506187997,35.572595547121345,14.848608647215583,10.247651255937715,10.720300376224833,5.5738594211026,10.291243455275165,7.335387151009766,4.907281436709423,2.2632504992841196,13.224042817571243,6.900308638565188,2.3541192320928057,6.968380648661089,5.455685856441702,12.424077958118612,14.030436187433859,5.742562344154772,7.486016541388639,25.088459051965163,10.554184487334716,9.581745967797353,18.511451533666612,2.7950180661218984,5.324433621419349,1.8225539457256401,10.06418067954381
Hawaiʻi::Hāmākua,6.390202761090333,3.782984798103047,2.6152914215398226,1.0519840584018307,4.071942510698015,1.5746361983505355,1.9981243043697678,1.4140052401263714,5.140488617588297,2.09252417855143,4.835632168015873,1.9117494970723041,6.305471715069857,3.5937332789503156,2.129406925539049,1.0774271014081975,3.2082265836173463,3.719594823474107,2.6638642129786456,4.4374693231388225,1.151750914256877,6.368943609880197,0.9300109572563307,1.393557859152593,2.981803695740842,4.426952085335251,4.015075041651401,2.5826973861586002,2.1156920354227013,1.3337092905090113,1.287358972852274,2.5316930862132137,2.9053092573261527,5.340073140550144,1.1913780737350763,8.049298666463882,6.170088418491148,4.165019045578038,2.9839899621853676,0.9252469703359073,3.3069725480978622,1.9823949382314918,0.9746004230814431,0.6387700220527747,4.3668717551658105,2.320825527296358,1.40629333646727,2.5686598273108747,1.486340068992693,2.839281936772829,3.096298383026968,1.4160474549439004,2.0207916531285215,9.33250330100309,2.2206914132441082,2.1486630073347945,4.160065121359391,0.5047828683124443,3.3478870123675284,0.43138856435746237,3.7192830428681054
Hawaiʻi::Kaʻū,9.260062166639628,4.2544115159829365,4.07997321479524,2.2394024223576463,2.883691894630839,1.94027826889925,3.590768672965167,3.316323984085423,5.0715624087857405,2.877392345838096,10.108158884400359,2.339549106524808,10.12795728159826,3.1158855780740615,2.879260594905329,2.5199936485134957,3.650340151066762,4.111822023210511,4.112525014150333,2.0837233331097784,2.950728179652589,9.940374644603814,1.1444295963409645,2.222977174819494,3.179260362155416,3.62806253628097,2.6205394556789856,3.040130653732438,1.4629204821129969,1.7434743174264,2.4078077596062353,2.9438665829226736,2.274429344626244,5.070676666062666,2.4897335737611197,13.874387803077024,5.946280113313002,6.401994097807031,4.807727021247654,2.189165077789331,3.5643724622716704,2.4484170161219834,1.2665332176365127,1.6316041494654425,5.622390076095429,1.7986726832806428,6.155489958392936,1.7789599509811445,1.8015597519885895,2.6960818879707436,5.988581116878903,1.7384968096883273,2.314488837227987,12.949938769532245,3.96164402124955,3.9043056492541575,6.7144414596902156,0.5896289095735556,4.9081137826395125,0.8699659426535249,3.6255152177927137
Hawaiʻi::Kohala,5.082909021989386,1.791806573130049,3.552933525247377,2.073977458913493,3.8102227334597454,1.460890940504721,1.625077128159505,0.9796814931967242,3.554039760246686,2.1728427334330824,3.2638501288487425,1.5183601681188352,4.444381737118348,3.0764509203830754,2.3371209916131668,1.4486020944641924,3.2383581195149302,3.6396081345128435,2.1201717272219467,2.6605718293410736,0.7523221491854689,5.660540333722464,0.9300597850165733,1.077596136070849,2.565488667576466,4.347817114774701,3.748702680471561,3.850208559875893,2.240668298143414,1.4334912798797326,1.5032542139693457,1.8870916512502929,1.813206512827327,8.32061251034856,1.57401062096695,5.538497866741205,5.237043691255394,4.419980687131079,3.1712988370951063,1.9079854113627748,2.8616374699875085,1.838466748847827,0.9506852491186782,0.8761257600609338,3.376246437717776,2.4078458752182477,3.1489369478823614,2.330319160045736,0.900877594583509,2.929175574686721,4.918778521032408,1.9590662221211006,2.3222759733868137,6.593893827214259,1.7330451641616078,2.06542684284364,2.476843776843488,0.6684790210295191,4.345758789999436,0.309453062751715,2.9674266424270757
Hawaiʻi::Kona,5.636857477399763,1.3969841713988884,3.785058686127634,2.8799809984251055,4.547852383609615,2.0357907563466937,2.61520479487917,1.7769305948998744,3.3119032884568993,1.7379273546699736,2.9530551722824,1.7690906949898326,4.1579554117187705,2.1775565530987055,2.8562293167352273,2.5905805626146425,2.7060401502956175,3.3555399989119663,2.4551972107763125,0.5032194060412521,0.5365484493103494,4.288638582378759,0.5584484716563667,0.6015334179696871,1.761238026746817,2.5659233335345664,3.0542739082300603,3.741287406050893,0.6328185954443506,1.506111096318336,2.441557474943653,2.7608797100228375,1.3598057985332659,5.765908309940982,1.2460124065731035,4.2318912328551415,2.608276037471528,5.233776412659668,3.9510897671767653,2.5356698445373684,2.0440640622557518,1.5288854984102995,1.0316326698084992,0.7958628908286298,2.1650932254725777,1.1677631125901846,2.218042641526498,1.399896929425378,0.9231483937379734,1.3716348699787742,3.6857861884397067,1.6459450012521575,1.621051199351036,5.634116159349714,2.335782883019575,1.8430503312191653,2.2971691486775683,0.13157889073773074,4.636903041698105,0.4078692613373041,1.8118712098136087
Hawaiʻi::Puna,18.423658524484903,5.977809559535533,5.591845908998921,3.843675481761915,5.155724267751514,4.442378273270213,10.801009156072979,3.5775388534368022,19.8223144345296,9.582514052839176,19.359110583503792,9.79801887893518,20.780927043019947,9.571380820609427,6.705622420582587,3.490058167279201,11.209958465200462,8.70326621211694,9.025803364829159,11.594259760071127,4.713506430095223,19.365592253690288,2.488496016949425,4.7267945678178656,7.3648472720770295,12.163352008586072,10.689188745450608,6.696818984726316,5.496133751548587,3.6593681549404713,5.669220846850197,6.050379459672841,11.02234605765617,5.428061491633613,3.054220723712741,31.038644816965988,12.296531414149815,10.498237349767843,9.232193342225406,5.589499158917633,9.150346194713514,5.896653944842272,4.650302115073203,2.688243487010069,15.310167192112637,6.749275095145993,4.277542726020586,6.405737652257681,4.119254433037673,10.496836438122358,14.516929080320244,5.888590226026833,6.201604302601199,22.852695122007805,8.277391748791024,9.36246920225131,16.699109519881702,2.967972304422919,5.777875375613859,1.982162379401138,9.191768564399284
Kahoʻolawe::Honuaʻula,1.8570680908778836,2.097031469731753,0.825759546537052,0.5289757001671547,0.7951986234857099,0.14282406799298908,0.516370609875385,1.6122145376722015,0.8819785707598415,0.5656194747064067,2.5348152924522966,1.3698968900368442,3.767226542766809,1.060994959396254,0.2529770566831123,0.29757446925486497,0.1473293308275177,0.618956462515043,0.6690697782714615,0.322548689630758,0.48997285688093795,5.912047078305204,0.39166819249696216,0.5491553645511305,0.9682088838919132,0.42125773205867384,0.6883789727257125,0.7477592694495212,0.12443026695487996,0.39238506353142877,0.9183355664093357,1.3839309224320702,0.5177266763125148,2.6771754114012314,3.8093726777309884,2.189387072141744,1.911215663332677,2.01828826465431,0.4785809388159525,0.8428381284632894,0.3347439542987211,0.18633485028496252,0.419231803772779,0.5372303455585051,1.6059386209062239,0.42962144333224755,9.089988107056968,0.5879485331549311,0.1872201962981691,0.826568683574573,0.8451816544649006,0.5386131927553984,0.29128518115648755,1.1933282552238254,0.6305469696278908,1.1028877628491571,0.6157453237060146,0.1925621197817823,5.704918968049479,0.4689963220378819,0.4765433915660066
Kauaʻi::Halele'a,25.052490285182397,4.596939122998862,7.263333752700664,7.500351180723986,19.138122098324928,6.726991513960202,6.630078049620299,3.385859288387246,14.623236292363984,7.905358332040548,10.663229036993874,15.405182150465214,37.046038019274505,6.99881662737857,7.093530778093512,8.06943185816934,11.050843874273045,9.1084556041349,7.997198594709539,7.3876209858979065,4.435686275715416,20.135785150234405,4.615312851180724,1.5040292962763968,8.9494682863705,10.61745848263441,12.111017095051972,4.799481423130915,6.190429343857247,8.179117304294195,4.313440797788011,11.390557424315235,8.067560076734761,11.183628025593391,14.399817953588334,27.544908565309683,11.506877466542054,14.88697892821062,14.720838520245039,11.51981794412892,8.793591933201405,4.832584344859944,6.028536212526534,8.200696591205773,19.06359137982572,16.76745829344614,9.721478213078964,7.862723573236671,3.916635844744539,23.795618021317733,14.159892938358677,6.060818825746254,5.8166902836688905,4.5583464898008605,6.126110062167266,10.870716541108719,8.630047543011955,4.67532100519511,8.418817658454635,3.6062299223949723,8.222550201107131
Kauaʻi::Kona,20.76392313153479,3.514890441461211,2.8201392474506264,2.1727180682844973,6.743854475926165,2.1806126565121984,1.95380994255841,6.703287562927585,5.153668758874403,3.0651050406609013,4.576667177617143,7.8343036013940885,20.998559119659223,2.651998757583581,2.7497115819026723,2.7230236301148834,3.682219730218149,4.087946140441462,2.9850119401058475,2.7012904188718214,1.775728911191429,10.198526849102878,4.275625242029173,0.5512658125726088,3.146497837872725,3.6134503678843424,4.367489028010843,1.5766283521040403,2.104954740544727,4.1816154640506005,1.779741754872854,4.094355879695366,3.111784198722086,6.659167258293533,6.8522089195817735,16.000774493352267,11.082012391893638,7.923992351878146,5.0308203982186654,3.5655007583580742,2.7992063460049055,1.6450420323996386,1.8449688185749324,5.537662966309539,9.03284658577514,5.1697173099264235,9.215904543694334,2.5911425390473735,1.0997563572995999,16.18078611075255,5.825510681554151,2.076248063766619,1.7824532883696915,1.01511643620111,2.090995304634052,3.70489221634181,3.1270798373563964,1.4946781818768555,4.612514521750355,3.594015828707887,2.34272016587066
Kauaʻi::Koʻolau,21.08641779745886,3.695469014751321,1.727733004893376,1.1020046606614837,12.797096960981143,2.4914228358915578,3.4824039004618093,0.5533584873043955,4.173874651151201,1.8800655011082477,3.391393223790064,8.904100842220673,18.703216884281872,1.4027213728920753,1.219375243244911,1.4961075808463027,4.71364808631516,1.2545545384754122,2.3625632881728396,3.3758511347078453,1.4999106000792621,10.800624308828485,2.5746988064387524,0.7938727793519481,4.614036328924075,3.568224116368366,6.268307145942201,0.9874788569743657,2.670813547436317,1.560709035183893,1.650438968072029,5.235524851323965,1.9958283868590796,8.672102300503576,7.451454100278604,14.667598413331245,8.381483218474273,10.380277821284999,12.72775732938446,5.295588916693958,4.0370657040101,1.9828539035468669,2.3638375429534917,4.55170927012288,10.794388933187149,7.305592437812362,4.8141045264911515,3.1403414861908088,1.792363474344188,15.656081953363426,7.254858817094066,2.676059442826767,2.2705495970440404,2.0341366793154023,2.4360061944393028,3.5469260962632836,4.862169127593228,2.3191032835689844,6.104049345493205,1.9058724512679588,4.354976420075655
Kauaʻi::Nāpali,14.932084856580428,2.8877605631327334,2.3874828634701912,1.591417894052306,8.48953001968504,2.400144562007874,1.761079755167323,5.620804625984253,3.739263744375703,4.666242793869516,6.221188660011249,8.508206200787402,20.155687570303712,4.271412753093363,2.1308145563835774,3.177702738329584,4.102885967379078,4.886113259280091,2.7306862521091113,2.6483909237907763,1.8973930504780652,7.988649465691789,3.4117194090973,0.7619610781074242,9.856097968222723,4.487111571991001,5.607471526996626,1.9541492372047244,2.7935854453740157,4.192489366563555,1.695185733619235,6.081988188976378,5.007569952193476,7.269114700506187,13.076747926040497,17.961016591676042,9.062260967379078,10.236088652980877,7.333366141732284,6.011097440944882,3.4898263937710916,2.0319062412120363,1.9144421400449945,5.634461561445445,10.76039088863892,11.58845437289089,8.259361818053994,4.603422911979753,2.717584276574803,15.244245641169856,6.035219962739033,2.8235324100112487,3.3227225991282343,1.9873328089848146,2.3328617125984255,3.955422613188977,3.38076094980315,3.055521697483127,7.495408288807649,3.9084364454443197,3.2888067702474695
Kauaʻi::Puna,28.031983777088993,4.089034695082431,5.272606510983194,4.881582535984958,13.6263564548319,4.471613114375374,4.991175021979221,4.047523246635735,12.579953025431722,5.416561984611337,6.993646079997947,9.324037887684579,28.703899787587677,4.141880282232447,5.92050741517946,5.109292878732457,6.876120619396903,5.593950740876218,5.5233067978360895,5.780188138921511,3.4260106430767063,15.463057261485346,4.558653235277131,0.9339722949515175,4.863910119425781,6.934586951080993,7.505602294823172,3.564430401273191,4.009124585282586,6.206266163551072,3.0680112495106817,6.453583736018328,4.670939780143619,8.030812621527444,6.886715566422168,17.47745284895623,9.984989154778637,11.914108574142169,11.457206296645682,7.790740170314898,5.645335592219677,2.97857547375649,3.858712916081089,5.658402800505683,12.564445642338718,9.346994141013548,5.724424689884424,3.780446835954797,1.8503632186563477,21.143776190567866,10.128804651252336,3.8442671935262376,3.3221790793112964,2.524526484158918,3.9394019245454954,7.063509520050825,5.80641079324131,2.1114651316507196,4.984302905749251,1.7064562757894872,4.5162766558214456
Lana'i::Lāhainā,2.1005223550076377,2.119149889715967,0.8528259025298013,0.4046614133122202,0.8860915901661621,0.07138678682231625,0.3655943423913454,1.9074759504684398,0.761280482242572,0.42626304472008114,2.891482760334488,1.7902521779995624,4.7607986973524286,0.8383434558096347,0.27606292882118766,0.12386077415396482,0.16459527277525712,0.41847429384875556,0.45140586191407284,0.43191968217689236,0.5102149366920578,6.332153898128506,0.3824832560778896,0.5956600944491838,0.8921047594512096,0.4756552361009404,0.7732839662082929,0.5300342530065454,0.19645699960743165,0.4943317238973484,1.158223969382183,1.4899133833103078,0.47879393510165263,3.140305015878888,4.5047583188007545,2.404348418276575,1.9022454407964104,3.2415230945334854,1.4089610967253257,0.4339605246229708,0.46592212361877583,0.19905598589710682,0.41652403427549745,0.5072285525708197,1.9775105188193758,0.9731984988348773,6.456472722788846,1.1448852358744588,0.10575884619655346,1.367312143605791,1.1075252810261134,0.23030570082892324,0.3254215509659447,1.2654605254880054,0.7222737179874329,0.9325793299537223,0.7113568844477495,0.21329516624232794,4.317984790491793,0.6766812397454094,1.4271828516192189
Maui::Hāmākualoa,14.86884842519685,9.614564151003302,7.459740919481839,3.0492480691992636,11.737512303149607,2.2792348631572263,6.134181721488444,5.963543981775464,8.443326136652274,3.399209919513589,12.762453962407925,7.498050347663195,31.25462558737618,7.498342051371603,2.4972898344234187,1.5411647014700283,2.2173031396844043,7.095781011874524,3.542219646939294,5.3033113331851665,2.5763306253175005,19.1512513493777,1.2219310835106045,1.9502037461106174,5.412851532734316,4.2915786925323856,6.450595412909577,4.127979048926848,5.581578811595124,3.098784369443739,5.828239101790705,7.125833439166879,9.267209526606553,10.771582105664212,16.959540497205996,10.348852830518162,10.075649487236475,17.041054816484635,3.967837433721743,2.3721469591376687,5.842002754318009,2.3291444746951995,2.4782045735966474,1.3630799595583565,7.9059106711963425,7.060654031464313,6.2343735117157735,7.518358482029464,1.070687671648781,10.426204914909832,8.562341249682499,4.086587880207011,4.383895970916942,16.916594567564136,4.861614371666244,10.074241570358142,6.1474368769050045,1.921944949358649,14.883999158623318,0.9969204918878589,4.834558356616713
Maui::Hāmākuapoko,9.307083838281295,5.4412091864574545,3.471885122091659,0.9841500412219952,4.681311248072738,0.8563631572518988,2.229441744338767,3.7061547869066733,2.402524802594428,2.157520862810662,9.395765654444283,3.7034750598006436,18.434611089608964,2.968670193106905,1.1438627805237078,0.2925440633188881,0.8647635762926139,3.2402877489578508,0.9429302766334935,2.865706412944857,1.3057183472973917,12.337492346469382,0.8221051809247052,1.1734834063128543,2.309522756762073,2.261638868752657,2.893029616387597,1.3675595190886192,1.4347685719067047,0.7736643176342105,2.1595338801576074,2.7061441790339265,4.586859046552501,8.067322913956868,12.745355139682882,6.304438214990451,7.637726869682184,7.860007903360892,1.6896992995234983,0.4972711743053926,2.262970305490873,0.8484227431602024,0.9461073097364013,0.40515657740653976,4.21659769236138,3.4775474459414877,8.593116501805124,3.99203794882207,0.43749581137735,4.3950905178704,4.219632832773925,1.4004760208540865,1.7097252531216889,7.817184813333165,2.1272795029725837,3.923907646868477,2.4735147689347556,0.9638999715272799,10.657491815084356,0.7372193969810986,1.9955376545775252
Maui::Hāna,15.886436824092529,14.633561409563173,9.688577163720717,6.316780321903487,18.236420079556968,4.544385909473323,7.780524573626948,6.895263185300748,27.64865114597968,4.731807929967002,14.693231685153725,8.204205992501716,41.499105596758916,9.556292142116183,3.6621141609762478,3.9685334186215573,3.5591308003479596,10.241673932842161,7.040984037556768,7.931222841180123,4.407201643517006,23.87756987780573,1.6523949918523542,2.7398348417028786,7.873922581027216,4.940249320008495,9.28597828928023,6.818288095860425,11.024764300241776,7.821920077514948,10.526930879782403,12.558205128728725,13.170169405691508,11.849768333224427,18.339510007923025,14.332386943754697,18.808650543584804,18.171445666024113,5.999549224850525,6.637394785098181,9.41296874489496,4.144185766327964,4.498582202396511,3.1614659483533183,13.139959047358449,7.409066451301991,18.16941003079361,7.483829143455745,1.2134327484827818,10.435622110546607,10.601486817762277,4.340345703188813,7.036762168376515,17.38214501584605,6.234576393880485,12.720121724605484,6.617353669095306,1.8936627548436633,19.360176236236807,2.118675428108766,6.066694557209136
Maui::Kahikinui,3.870301430411568,4.34173172078754,0.9071694088515156,0.32976160564650725,0.707134344334102,0.22361158699701003,0.8087723458524645,2.1327075661448487,0.8620047711765664,1.200145327573252,4.677635838890851,2.369371282003338,7.0946009407959885,1.3750545634405364,0.42580868050505893,0.264186704190732,0.13376226940251057,0.4422980254581057,0.8682817309806509,0.3758671718640711,0.8663910144374268,9.524924211732769,0.6257052399081712,0.8084208079695843,1.571863703176615,0.5702398930221124,1.7686118411484846,0.30883296212880634,0.124301247446853,0.1839746762605264,1.148588557140285,2.7556290426180237,1.382659630390446,3.552346979982549,5.88944792294268,3.797356575789999,2.6372821033213527,4.3437727775988755,0.524198202820397,0.1825815941202848,0.22782620362026398,0.21677318440354507,0.49794996199765934,0.63900166325165,2.4148220598826864,0.5071202787610198,15.63061811369885,1.0847933584849965,0.7438195338956642,0.8773138469622367,1.2401335394895394,0.19519695508408993,0.2644618207947251,1.8185405001939072,0.8536024882660199,1.8277781420750836,0.656864562341152,0.19425683809487948,9.371843598293617,0.5772446809707823,1.5719674467534401
Maui::Kaupō,6.400025337179388,5.858340140116374,2.6110400779251153,1.0682989666461726,3.1273903103893064,0.935177932778514,1.1056926927929014,2.928944161640574,8.091374528693027,2.3532677763347203,9.1121300860401,3.2482878578212153,15.873572347392221,3.5076539765196992,1.0658870620698881,0.7767754352945138,0.6035301180216447,2.009750495226688,1.8525091005655685,3.348281124864455,1.8538332671849862,12.310281224972892,1.0506799095879076,1.2431927094038144,2.9869173556135142,1.6946089447773518,3.2447109745423366,1.4246380039086586,1.5887345839652862,1.4170361579711122,2.5714521193753237,4.126056952397996,3.7804184576922264,6.377342581699115,9.752708907701795,7.236501086132235,4.883091840187956,6.917192272869019,1.2777834131838381,0.5115476714379116,1.7128619850173994,0.8234296070478111,1.1770909651250558,0.6913934042272337,5.096711504319724,1.2459555195184873,11.856112284456794,1.9077751309825866,0.4098268694364515,1.5353079353210912,2.9258761259984265,0.2124639771586657,1.1930755083382354,3.724600252840245,1.8205037469790288,2.394093247907468,1.247896227860975,0.5689976908616059,9.981759002671922,0.7838597820781094,1.9802946399462782
Maui::Kipahulu,18.691876685057224,12.590276103879873,9.965178041360902,6.149999944203404,17.541207181691576,4.914287360285321,6.851773271644617,8.881233595800525,34.63247897584231,5.890189368070063,18.9741167956684,9.367237298462692,49.98037075722677,11.866234354634242,3.7961235593318694,4.5014650791418935,3.4045918646329927,11.250344543985573,7.733323234149303,15.128697640473513,5.2260417782598605,26.845556135840162,2.124690817107683,3.204246860325495,9.326646669166355,5.593089577530487,11.20763782875355,8.102399588444303,10.33426206768797,7.676953327262664,10.473026111691397,14.69434205768922,12.728448006499187,13.481654636920386,20.374787135983006,19.15524510329066,21.790818279411504,21.20342937043584,5.716399707849019,4.857498978922278,9.860388545181852,4.555951850884711,4.796459245607692,2.8453043885697324,14.873871792811613,6.279372723498849,21.326458076668988,6.889232316942526,0.8840414549185817,8.648811476690414,10.763674769448462,2.9560618538754087,6.731221934311783,19.001293923081043,7.233515453425465,10.094400867302301,5.663007595590731,2.0356202684485867,21.186150559305087,2.1538752270921493,6.145552257976682
Maui::Koʻolau,22.63326979793979,14.78723632391193,13.912966076893385,7.362798397697084,22.837201696912206,5.13925304704983,10.734587516115116,6.95682284347587,34.622215648628675,5.557491541929576,23.935331712781338,14.854210239500263,57.069332209795476,15.520316398691113,4.895861978923574,5.635213072733099,4.56736118294409,12.392047647760787,9.561550595786228,11.475897022204169,5.214914066382923,27.194134476381738,2.1210943314529214,3.4939726787295617,12.176401542005262,7.747907873258875,15.269658548769197,10.352665585177373,16.12292080319502,7.388856949493778,11.523008506005798,14.179351144267812,16.71551554493689,12.152030189193349,24.514845143515988,21.778263578955865,19.603796796907915,22.92800296190147,8.612819684787079,8.360638625314419,13.974898894206632,5.415244899297874,5.270398078043833,2.682019796362967,15.194576617125039,12.700754603687997,10.191268445657688,12.267826439890305,3.030134083437824,19.828418170533876,15.225373517472445,9.622221955914595,9.03080825346207,25.68541591504843,9.112711514833475,18.139114129077345,13.021566818125626,3.36016873251305,22.826414661159987,1.7840315919337382,9.300704902274912
Maui::Kula,3.987755273171161,3.4043443864646115,1.4505695189812167,0.4188537262047464,1.6246070209057317,0.355008606190615,1.076345425015396,2.16988295512031,1.3313873966260503,1.1089339080301763,5.391032928452031,2.2608391435358293,7.931555997888533,1.4053406666520039,0.5030552535136146,0.2541504013644812,0.2952900673717723,1.0281525618044254,0.9272720618154225,0.6763385001979502,0.7431322306778692,8.883225927066379,0.5665720675889676,0.7344463101548411,1.6870972264989224,0.8121349435567238,1.3488037420819954,0.5745514591260502,0.34705784611028023,0.963079124373158,1.12515258654819,1.6193790414815468,1.8848521422601505,4.310897841244007,7.2234533772489335,3.016130872520125,4.226197185809176,3.976543598513175,0.6698125041239608,0.38944906977191746,0.6761466501066732,0.33780198132258177,0.5216650560308802,0.2580257860956539,2.308126195948621,0.8218210963962082,11.74843426956407,1.2389843853099018,0.2650719381996987,1.183549073758413,1.822798561012625,0.27905102679749705,0.5838144764081952,3.0942101652883474,1.0953006951623192,1.5154188019619055,0.9649648913473805,0.2670830349189504,8.437563234065017,0.47877715284498307,0.5275513226916817
Maui::Kāʻanapali,8.548438262475225,7.632493719463339,4.8346567769551,2.2794312141919044,8.438264357879138,1.090622910253089,3.601274736202399,3.627129941592515,4.6372105229864635,1.9866908537613939,9.115097611889945,6.150574172083692,21.280310743483003,5.808185143292628,1.614285128645573,1.0307276574050088,1.6222232252589028,3.7610970738271816,3.20269363670183,3.60265825220346,1.4171444530962896,16.779378076258066,0.9926667297983601,1.3412294545873522,5.3498151609444,2.5130187937905526,4.682802776087573,3.034992623758201,5.763718717806602,2.2595600273210876,4.472732379856497,5.891746779907102,5.043818792209123,7.79849963702414,11.26826175228479,7.4798650061148635,7.763003120688722,12.492470321828554,3.944095834287212,2.6744173842091947,4.743574404779835,1.7837533661869163,1.9461925940875602,1.2805140702094717,5.280194583677232,5.796715068468393,13.130294025507714,3.8328617596647976,0.9179685735011056,5.536742080800535,3.807466157395972,3.9054016286470796,3.2073727400610883,8.833695305110579,1.9837882706082934,3.9949465777852753,4.302372822897903,1.3967628314225642,13.082141361776985,1.6693259558991864,3.8544280419184407
Maui::Lāhainā,5.179445083437896,2.529248394055391,2.433742945815376,1.227861315753184,3.93710353360853,0.6198662290571791,1.5011606539403417,2.4180836599019235,1.0786174337997734,1.2767363826201865,7.846074622817067,4.238293917792609,12.34543114630879,3.300357530095834,0.8297212365811375,0.6242436025516297,0.755563860260467,2.472235513538579,1.6154336145157087,2.6036852905475443,0.8744030273135606,12.036981051444783,0.7321095014411448,0.9577793601074116,4.0239416071114675,1.4556510762367176,3.123729432240427,1.612205813602832,2.624684465412522,0.6842614137048184,1.9199236626978353,2.575683786134701,2.429430213580404,5.429073999987877,7.600711082268008,5.83966959744928,5.144472978154001,5.7767274796481844,2.0621849863310966,1.2577845361437932,2.2419992116134155,1.0562077535036039,0.8716805174180018,0.8151887922569148,3.4406491895643527,3.026225314142314,10.603221815084893,1.7528887539551927,0.5941615019957812,4.070353557854922,1.762872158436532,2.4685322560358363,1.4937955756396502,5.576363726943197,0.8384662755420585,2.4125612126681335,2.473568117964758,0.9071492712065005,7.98158922217575,1.076262526671031,2.6731950076679216
