timestamp,0286,0531,0165,0611,0122,0154,0258,0116,0153,0222,0244,0255,0256,0252,0152,0253,0254,0134,0251,0641,0235,0133,0501,0204,0212,0155,0201,0161,0602,0144,0119,0246,0221,0151,0241,0166,0422,0115,0411,0421,0502,0242,0603,0621,0211,0121,0132,0118,0601,0141,0214,0431,0202,0231,0213,0412,0521,0541,0156,0131,0257,0551,0243
2026-03-10 00:45:00,1.797,0.833,1.388,5.775,0.333,3.165,3.054,2.221,2.973,4.165,3.11,3.832,1.241,0.777,3.136,2.777,2.999,0.389,2.388,0.777,3.998,3.61,0.611,1.333,3.832,3.165,2.332,1.499,4.332,5.609,1.241,1.862,2.721,1.927,2.055,3.887,1.888,2.166,9.0,1.499,1.944,2.332,1.999,1.277,3.443,2.832,2.166,2.443,2.221,3.832,1.277,2.277,0.0,3.61,1.055,5.276,1.333,2.166,2.2,2.832,1.333,1.777,3.499
2026-03-10 00:50:00,2.221,0.389,1.055,3.554,0.0,3.054,2.832,2.166,3.365,3.998,2.999,3.054,1.47,0.722,2.679,2.832,3.276,0.666,2.555,0.833,3.054,4.276,0.111,1.055,3.943,3.776,1.833,3.165,3.665,4.887,1.339,1.797,3.276,2.254,1.944,4.387,1.61,2.221,8.61,1.388,1.833,2.888,2.443,1.777,3.665,2.777,2.055,2.221,1.61,1.722,1.222,1.777,0.0,4.221,0.944,4.221,1.499,2.777,2.95,1.444,1.333,2.666,3.054
2026-03-10 00:55:00,2.091,0.944,0.833,2.221,0.333,2.943,2.277,2.388,3.299,3.665,2.721,4.998,1.503,0.944,2.025,1.444,3.276,0.666,2.777,1.444,2.11,4.109,0.944,0.777,3.832,2.277,2.777,3.165,4.443,5.72,1.633,2.025,3.61,2.907,2.11,4.054,1.388,1.944,8.89,1.388,1.833,2.61,2.388,1.666,3.998,1.888,2.443,2.499,1.555,2.166,1.222,2.721,0.0,3.499,1.277,5.609,1.111,2.721,2.45,2.332,1.111,3.165,2.61
2026-03-10 01:00:00,1.829,1.722,0.889,3.776,0.0,3.332,1.666,1.777,3.071,3.554,1.61,5.609,1.633,0.833,2.417,2.555,3.11,1.277,2.666,0.944,2.943,3.11,0.0,0.777,3.776,2.055,3.054,3.887,4.387,5.942,1.339,1.797,3.221,2.385,2.166,3.776,1.388,2.221,8.39,1.333,1.444,2.721,2.443,1.388,4.054,2.055,2.555,2.61,1.944,1.166,1.222,2.499,0.0,3.276,0.833,4.443,1.333,2.777,2.95,3.332,1.277,2.832,2.888
2026-03-10 01:05:00,1.895,1.944,0.611,2.61,0.0,3.276,1.388,1.999,2.875,3.276,1.666,4.554,1.339,1.222,2.091,2.388,2.777,1.555,2.666,1.61,1.722,3.998,0.0,0.5,2.888,2.832,2.888,3.998,3.554,6.22,1.274,2.189,2.888,2.45,2.11,3.943,1.666,2.11,8.55,1.111,1.277,3.221,1.833,1.0,3.832,2.388,2.443,2.277,1.277,2.499,1.333,2.721,0.0,2.943,1.277,4.776,1.388,2.332,3.45,3.276,1.444,2.999,2.999
2026-03-10 01:10:00,1.96,2.221,0.611,3.61,0.278,2.999,2.277,1.944,3.267,3.332,1.944,5.276,1.731,1.388,2.058,1.61,2.388,2.499,2.721,1.166,1.444,3.887,0.0,0.5,3.388,2.055,3.165,4.831,3.721,5.553,1.405,1.895,3.499,2.875,2.055,5.609,1.444,2.166,9.0,0.833,1.222,3.221,1.999,1.61,3.665,2.166,2.943,2.666,1.0,2.499,1.055,2.721,0.0,2.943,1.0,6.053,1.555,2.388,3.95,3.776,1.499,3.221,3.388
2026-03-10 01:15:00,2.025,1.722,1.0,3.721,0.5,4.221,2.166,1.944,3.332,3.221,2.499,3.554,1.339,1.499,1.895,1.722,2.721,2.443,2.443,1.166,2.221,4.609,0.0,0.722,3.276,3.165,2.388,4.054,5.276,5.442,1.503,2.123,2.832,2.581,2.166,4.443,1.055,2.388,8.22,0.0,1.111,3.276,1.666,2.055,3.887,2.555,2.999,2.943,0.555,3.276,1.333,3.054,0.555,3.61,0.722,5.054,1.722,2.499,3.7,3.054,1.333,3.332,2.943
2026-03-10 01:20:00,2.025,1.499,1.166,2.277,1.111,3.721,2.166,1.944,3.332,3.443,1.888,2.388,1.209,1.388,2.091,2.388,2.777,1.61,2.666,1.055,2.055,4.609,0.5,0.278,3.499,2.999,2.777,4.831,3.832,5.442,1.307,1.797,2.943,2.646,2.055,3.332,0.889,2.443,8.5,0.777,0.333,3.276,1.833,1.555,4.221,2.61,3.332,2.943,0.666,2.11,1.277,2.61,0.278,3.165,0.889,5.831,1.888,1.666,3.2,3.665,1.277,2.388,3.332
2026-03-10 01:25:00,1.797,1.833,1.333,3.332,0.833,4.054,2.61,1.888,3.593,3.665,2.277,1.555,1.339,1.555,2.319,2.388,2.499,0.444,3.054,0.944,1.222,4.498,0.5,0.0,3.443,2.277,2.332,4.498,3.276,6.72,1.372,1.666,2.499,3.071,1.944,4.387,2.166,2.443,8.55,0.833,0.944,2.832,2.055,0.555,4.554,2.61,2.721,2.777,1.055,2.11,1.111,2.277,0.0,3.11,0.944,6.775,1.166,1.944,3.45,3.998,1.277,2.721,3.332
2026-03-10 01:30:00,1.535,2.555,1.61,3.721,1.277,3.943,2.388,1.944,3.365,3.165,2.388,1.61,1.862,1.388,2.189,2.166,3.054,0.944,2.221,1.055,2.443,4.665,0.0,0.0,3.388,1.888,1.722,3.776,3.332,6.886,1.405,1.764,1.944,3.234,2.055,3.61,1.666,2.166,9.55,0.889,0.833,3.165,1.888,1.555,4.776,2.666,2.832,2.777,0.833,2.555,1.388,2.055,0.666,3.276,0.889,5.553,1.444,1.833,2.45,3.276,1.555,3.054,3.221
