division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi,0.33564207,-0.4549925,0.615786,-0.21613513,1.0309248,-0.03591385,0.99949265,0.3104596,0.14697346,-0.13736267,0.50089103,0.3023054,0.37130964,-0.21992728,-0.92271215,1.2399683,-0.8666535,-0.54367393,-0.32901475,0.6320311,0.6262477,0.8845166,-0.8480886,-0.76610094,-0.27535197,-0.02603771,-0.3078023,0.5904992,-0.48181853,1.7942913,0.4633269,1.2210733,0.73716503,0.031360958,0.06320979,-0.45215106,-0.85796094,-1.295919,0.48640892,-0.49815315,0.028536612,-0.23943381,-0.9245403,0.061688107,1.0490236,-0.11961006,-0.28366908,1.817567,0.16413845,0.03932653,0.6147929,-1.7666451,0.51574105,-1.21625,-0.10585423,-0.20933025,-0.12730275,0.23320009,-0.52271485,-0.75970256
Honolulu,-1.6491786,0.10651877,-0.18206643,-0.59971255,1.0994667,0.27107275,1.9729303,-0.9216555,-0.8139122,-0.9260875,-0.9086482,0.16613297,-0.19080712,-1.0488683,-1.455412,2.2944202,0.6026638,-1.8038636,-0.9781588,-1.30108,0.10862232,-1.5759158,-0.6407349,-0.42729458,0.08901049,-0.036531854,-1.191561,0.19974981,0.25724125,1.5897391,-0.089252345,2.137445,0.5439205,-0.2923929,-0.5995553,-1.1559839,-0.5718311,-2.2032545,0.6110046,0.05952974,0.8936915,-0.5184139,-2.2035432,1.5597721,2.8608785,-1.024873,-0.70230395,0.09539163,-1.1265486,-0.32839704,-0.56964767,-1.4707714,1.1723484,-1.0422914,-0.5447699,1.0315368,0.3771596,-0.5149729,-0.36676478,-1.782338
Kauaʻi,-0.55757594,-0.26279923,0.0067694183,-0.6450652,0.17116043,0.6360842,1.9262042,-0.6800924,-0.20142199,-0.21334298,0.33996195,0.113409884,-0.24752305,-0.60847586,-1.6242172,0.7652773,-0.16827044,-2.1497118,-0.5255164,-0.15708968,0.6766298,-1.2033036,-1.0287863,0.22193596,-0.9841531,0.07898413,-1.0356385,0.23191534,0.78879523,1.8321368,0.6294478,1.6142688,1.2495503,0.4275029,-0.23222947,-0.9856588,-0.8805048,0.15449059,1.1374054,0.10425421,0.79051006,-0.7062858,-1.4858824,2.7230306,1.1241283,-0.6602892,-1.3542587,-1.4415631,-0.7389382,-0.17231622,-0.91545886,-1.1655753,0.18043207,-0.87504166,-0.75527006,1.323352,0.6331602,0.0851155,-0.37139562,-1.37692
Maui,-0.5699509,0.1833973,-0.527222,-1.054808,0.63834816,-0.1188435,1.4147612,-0.085573755,-0.90056485,-1.3693453,-1.6415099,-0.1066658,-0.6204779,-0.73899066,-1.2408097,1.4287686,-1.5242635,-1.280373,-0.80341345,-0.7686689,0.09755091,-0.18462092,-1.0283326,-0.5597673,-0.012241654,0.18377712,-0.30905488,0.44433022,1.0536418,0.58627677,0.13459383,1.3717842,-0.0652684,-0.36831826,-0.48437765,-0.9973011,-0.89951366,-1.1234221,0.1515676,-0.5406862,1.3170241,-0.44940352,-2.255326,0.13648604,0.3202797,-0.63666624,-0.8471038,0.9563613,-0.6460776,-0.16110389,-0.75717604,-1.6972084,1.0947679,-1.3507423,-1.0012524,0.29622725,-0.6868784,-0.6909196,-0.7326475,-0.975898
