island,division_type,name,date,value
Oʻahu,moku,Waialua,2021-07,2.6345230179825707
Oʻahu,moku,Waiʻanae,2021-07,1.1820914736437764
Oʻahu,moku,Ko'olaupoko,2021-07,2.1218368273586057
Oʻahu,moku,ʻEwa,2021-07,2.019659922786719
Oʻahu,moku,Kona,2021-07,2.520710640319432
Lana'i,moku,Lāhainā,2021-07,0.16459527277525712
Hawaiʻi,moku,Hilo,2021-07,12.475306624181819
Hawaiʻi,moku,Puna,2021-07,11.209958465200462
Hawaiʻi,moku,Hāmākua,2021-07,3.2082265836173463
Hawaiʻi,moku,Kohala,2021-07,3.2383581195149302
Hawaiʻi,moku,Kona,2021-07,2.7060401502956175
Hawaiʻi,moku,Kaʻū,2021-07,3.650340151066762
Kahoʻolawe,moku,Honuaʻula,2021-07,0.1473293308275177
Maui,moku,Kāʻanapali,2021-07,1.6222232252589028
Maui,moku,Pūʻali Komohana,2021-07,0.8071499489353146
Maui,moku,Hāmākualoa,2021-07,2.2173031396844043
Maui,moku,Hāmākuapoko,2021-07,0.8647635762926139
Maui,moku,Lāhainā,2021-07,0.755563860260467
Maui,moku,Koʻolau,2021-07,4.56736118294409
Maui,moku,Kula,2021-07,0.2952900673717723
Maui,moku,Hāna,2021-07,3.5591308003479596
Maui,moku,Kipahulu,2021-07,3.4045918646329927
Maui,moku,Kahikinui,2021-07,0.13376226940251057
Maui,moku,Kaupō,2021-07,0.6035301180216447
Ni'ihau,moku,Kona,2021-08,
Kauaʻi,moku,Koʻolau,2021-08,1.2545545384754122
Kauaʻi,moku,Halele'a,2021-08,9.1084556041349
Kauaʻi,moku,Nāpali,2021-08,4.886113259280091
Kauaʻi,moku,Kona,2021-08,4.087946140441462
Kauaʻi,moku,Puna,2021-08,5.593950740876218
Moloka'i,moku,Kona,2021-08,1.33607031956556
Moloka'i,moku,Koʻolau,2021-08,2.9026620568770007
Oʻahu,moku,Koʻolauloa,2021-08,5.537096959595379
Oʻahu,moku,Waialua,2021-08,3.4129312382671317
Oʻahu,moku,Waiʻanae,2021-08,1.9179821779078556
Oʻahu,moku,Ko'olaupoko,2021-08,3.235823864580219
Oʻahu,moku,ʻEwa,2021-08,3.35020297380347
Oʻahu,moku,Kona,2021-08,4.928695754036441
Lana'i,moku,Lāhainā,2021-08,0.41847429384875556
Hawaiʻi,moku,Hilo,2021-08,9.692533684666946
Hawaiʻi,moku,Puna,2021-08,8.70326621211694
Hawaiʻi,moku,Hāmākua,2021-08,3.719594823474107
Hawaiʻi,moku,Kohala,2021-08,3.6396081345128435
Hawaiʻi,moku,Kona,2021-08,3.3555399989119663
Hawaiʻi,moku,Kaʻū,2021-08,4.111822023210511
Kahoʻolawe,moku,Honuaʻula,2021-08,0.618956462515043
Maui,moku,Kāʻanapali,2021-08,3.7610970738271816
Maui,moku,Pūʻali Komohana,2021-08,3.3504869665989334
Maui,moku,Hāmākualoa,2021-08,7.095781011874524
Maui,moku,Hāmākuapoko,2021-08,3.2402877489578508
Maui,moku,Lāhainā,2021-08,2.472235513538579
Maui,moku,Koʻolau,2021-08,12.392047647760787
Maui,moku,Kula,2021-08,1.0281525618044254
Maui,moku,Hāna,2021-08,10.241673932842161
Maui,moku,Kipahulu,2021-08,11.250344543985573
Maui,moku,Kahikinui,2021-08,0.4422980254581057
Maui,moku,Kaupō,2021-08,2.009750495226688
Ni'ihau,moku,Kona,2021-09,
Kauaʻi,moku,Koʻolau,2021-09,2.3625632881728396
Kauaʻi,moku,Halele'a,2021-09,7.997198594709539
Kauaʻi,moku,Nāpali,2021-09,2.7306862521091113
Kauaʻi,moku,Kona,2021-09,2.9850119401058475
Kauaʻi,moku,Puna,2021-09,5.5233067978360895
Moloka'i,moku,Kona,2021-09,0.6701817287986527
Moloka'i,moku,Koʻolau,2021-09,2.1703460439871662
Oʻahu,moku,Koʻolauloa,2021-09,4.331172050117823
Oʻahu,moku,Waialua,2021-09,3.701021770198244
Oʻahu,moku,Waiʻanae,2021-09,1.7196626793691725
Oʻahu,moku,Ko'olaupoko,2021-09,3.099035336168422
Oʻahu,moku,ʻEwa,2021-09,3.2784381355357106
Oʻahu,moku,Kona,2021-09,4.204754710371917
Lana'i,moku,Lāhainā,2021-09,0.45140586191407284
Hawaiʻi,moku,Hilo,2021-09,11.353598254614287
Hawaiʻi,moku,Puna,2021-09,9.025803364829159
Hawaiʻi,moku,Hāmākua,2021-09,2.6638642129786456
Hawaiʻi,moku,Kohala,2021-09,2.1201717272219467
Hawaiʻi,moku,Kona,2021-09,2.4551972107763125
Hawaiʻi,moku,Kaʻū,2021-09,4.112525014150333
Kahoʻolawe,moku,Honuaʻula,2021-09,0.6690697782714615
Maui,moku,Kāʻanapali,2021-09,3.20269363670183
Maui,moku,Pūʻali Komohana,2021-09,1.6353027302408774
Maui,moku,Hāmākualoa,2021-09,3.542219646939294
Maui,moku,Hāmākuapoko,2021-09,0.9429302766334935
Maui,moku,Lāhainā,2021-09,1.6154336145157087
Maui,moku,Koʻolau,2021-09,9.561550595786228
Maui,moku,Kula,2021-09,0.9272720618154225
Maui,moku,Hāna,2021-09,7.040984037556768
Maui,moku,Kipahulu,2021-09,7.733323234149303
Maui,moku,Kahikinui,2021-09,0.8682817309806509
Maui,moku,Kaupō,2021-09,1.8525091005655685
Ni'ihau,moku,Kona,2021-10,
Kauaʻi,moku,Koʻolau,2021-10,3.3758511347078453
Kauaʻi,moku,Halele'a,2021-10,7.3876209858979065
Kauaʻi,moku,Nāpali,2021-10,2.6483909237907763
Kauaʻi,moku,Kona,2021-10,2.7012904188718214
Kauaʻi,moku,Puna,2021-10,5.780188138921511
