month,D4 Exceptional Drought,D3 Extreme Drought,D2 Severe Drought,D1 Moderate Drought,D0 Abnormally Dry,Near Normal,W0 Abnormally Wet,W1 Moderately Wet,W2 Severely Wet,W3 Extremely Wet,W4 Exceptionally Wet
2020-09,0.0,0.33265852498237747,1.643847032637343,12.00765322953091,16.610702715090824,54.55947052430178,9.201932058489563,4.489501116385342,1.0958980217582288,0.05833677682363195,0.0
2020-10,0.6892767975887466,3.4574957549577583,5.274964147189244,19.941802120264043,14.520301545577343,53.013893181194724,1.4796012264612841,1.6226652267668575,0.0,0.0,0.0
2020-11,0.14827264109339786,0.2291801946642684,2.29457988839619,8.251875978790414,9.994687186396419,55.39563099210717,15.670022188809757,8.015750929742381,0.0,0.0,0.0
2020-12,1.089994895532028,3.2279683175743012,3.0133723171159406,13.427875951010998,14.534191254344876,55.56196025459836,5.854512245514492,2.2438824513947004,0.7698371084404289,0.27640520447387523,0.0
2021-01,0.3666883114628294,0.31043499095432714,1.4365431292819368,5.35482997260255,11.09405763534653,31.48206664976752,11.184340742335486,32.22342985523451,5.048214651559293,0.8056031085168222,0.6937909529381943
2021-02,0.0,0.0,1.4056385272741794,4.20858175656202,6.510106499341975,52.59372949097689,25.253226752968054,9.906140293003407,0.12257667987346475,0.0,0.0
2021-03,0.0,0.0,0.0,0.0003472427191882854,1.7237128580506487,11.50137334495439,16.37596663691954,49.2470041634402,10.1464322546817,7.263970442699742,3.7411930565345872
2021-04,0.0,0.0,0.0,0.6715674189101439,1.813995965039603,17.731602212630605,28.488139924926127,37.83973359538584,5.76388189580635,4.836743835573628,2.8543351517277062
2021-05,0.0,0.0,0.0,0.0,0.37189695225065367,21.094300705249964,23.491664438525888,38.00884079963053,8.710930853557327,6.653517742366737,1.6688485084189
2021-06,2.423754179934232,4.506863252344757,5.460739001954976,19.744915498484286,15.393616984335882,33.54607737262269,11.279138004673888,5.547549681752048,1.5410631877576106,0.5482962535983027,0.007986582541330564
2021-07,7.228551685342538,7.599754152154816,7.296611258303441,7.61885250171017,9.855790098721105,38.800554199379825,12.806658726383155,7.188966015355073,1.0580485653667058,0.4819728942333402,0.0642399030498328
2021-08,2.624113228905873,3.4272856383883767,3.9922495425077176,10.192615536333742,11.378102179642548,46.51073153623651,9.136303184562976,8.891844310254426,2.2883295194508007,1.558425323717025,0.0
2021-09,0.2000118062524524,0.8354659823670146,2.3477080244319977,10.9704392273155,7.30286162724883,56.90127542250758,12.566714007424048,5.801036866759497,1.4094581971852504,1.2462541191667564,0.4187747193410722
2021-10,0.2302219228218332,0.930610487424605,1.9376143730706328,14.798790206366347,11.281568703708205,54.99387116600632,9.288742738286635,4.5509630776816685,1.2278502550497772,0.4698193990617502,0.2899476705222183
2021-11,2.7293277728199237,12.308018181628777,17.648958445463794,20.494265286492606,6.817763548542796,38.00571561515784,1.4921019643520625,0.5038491855422021,0.0,0.0,0.0
2021-12,0.09722796137271993,0.13438293232586646,0.17049617512144813,1.5539111683675773,4.6561776215957185,54.41119788320839,20.962695714677604,14.9543549445627,2.1442237909876627,0.8490084484153578,0.06632335936496252
2022-01,0.0,0.24966751509637722,1.4827264109339786,14.414392516224916,10.302691478316428,50.46582610779109,11.48505293715254,6.416350965161138,3.3317938906115985,1.851498178711938,0.0
2022-02,0.10486730119486219,0.19445592274543985,0.34967341822260345,6.34516620772754,4.990919602893226,67.94359389269505,9.261310563470762,4.274557873207793,2.715438064052392,3.532847425021616,0.28716972876871205
2022-03,5.334689894889629,11.169409305410388,11.492692276974683,36.74453005906599,26.660948736557366,8.597729727101946,0.0,0.0,0.0,0.0,0.0
2022-04,7.2059809085953,9.632860273002226,9.803009205404486,15.732178635544457,14.830389293812482,41.256601952198565,1.0715910314150487,0.4673887000274322,0.0,0.0,0.0
2022-05,0.5830205255171311,2.0591493247865325,5.064882302080331,14.153960476833701,6.102790789734117,62.58390252202387,7.842824055586614,1.5882881975672176,0.02118180587048541,0.0,0.0
