island,date,mean,p_anomaly,diff_anomaly,rank
Hawaii,2025,40.653414691808656,-36%,-22.937288110711677,2
Kahoolawe,2025,9.918074724234081,-14%,-1.6666345158970959,23
Kauai,2025,67.016988384943,-11%,-8.386553769398773,21
Lanai,2025,12.761268756499776,-28%,-4.96155994651612,15
Maui,2025,40.66576001466731,-41%,-27.86812902988629,1
Molokai,2025,25.5543826743564,-38%,-15.751622491569943,5
Oahu,2025,46.04289028639368,-15%,-8.173707736878647,16
