month,rf_mean,tmean
1,5.545881925123753,64.8080627674237
2,3.260044494071319,62.29498598022379
3,1.8161537615914247,63.7506858709881
4,6.245419410183258,65.38444056473375
5,7.304561070757634,66.54676275683437
6,2.6226249531810324,68.2035440441957
7,3.020392597602087,69.08063270890493
8,10.108739486249286,69.96193670233706
9,3.809559266450433,69.42795596277077
10,4.5141819456187005,68.71698933030082
11,6.427593866117181,66.71725829653272
12,1.2133280259295538,66.27276885990894
