timestamp,Io 0257,Lyon 0501,Summit 0153,Keokea 0116,Waipoo 0255,Waipa 0601,Lipoa 0121,Anapuka 0431,Kaaawa Makai 0541,Honoulimaloo 0412,Kealia 0611,West Kuiaha 0156,Lahaina WTP 0131,Upper Kahikinui 0145,Kualapuu 0421,Waolani 0504,Puuwaawaa 0288,Common Ground 0602,Laupahoehoe 0283,Iole 0258,Kaala 0521,Waipunalei 0214,Lower Limahuli 0603,Kaiholena 0231,Kanakaleonui 0211,Lawai NTBG 0621,Puuloa 0253,Kona Hema 0243,Manuka 0235,Olowalu 0132,Piihonua 0213,Spencer 0282,Kehena 0251,Keaau 0202,Keopukaloa 0411,Nuuanu Res 1 0502,IPIF 0281,Pohaku Palaha 0161,EMI Base Yard 0155,Kuiki 0160,Nahuku 0201,Lalamilo 0252,Hanaula 0134,Pulehu 0118,Honolua 0133,Palamanui 0286,Auwahi 0141,Aipalaoa 0222,Nene Nest 0152,Piiholo 0115,Napuumaia 0505,Kaluamakani 0221,Hamoa 0165,Waikamoi 0154,Park HQ 0151,Kona Ag 0246,Kula Ag 0119,Kipahulu VC 0166,Kaehu 0122,Keahuolu 0241,Mamalahoa 0287,Kulaimano 0212,Naiwa 0422,Hanamaulu 0641,Kaiaulu Puuwaawaa 0242,Kalahee Ridge 0551,Upper Waolani 0503,Kaluanui Ridge 0531,Mealani 0256,Kalawahine 0506,Kawaihae 0254,Pahoa 0204,Kahikinui 0144
2026-03-15 08:25:00,9.02251968503937,14.77,49.0900787401575,24.1100787401575,9.87200787401575,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.37,2.99051181102362,3.3,5.86397637795276,26.7994094488189,2.82137795275591,2.29047244094488,26.0133464566929,4.94566929133858,11.8105905511811,8.16783464566929,18.2684645669291,8.47,15.1594881889764,4.50255905511811,3.01,15.8557086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.6907480314961,9.57720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.16,21.2715748031496,9.62338582677165,30.16,12.251968503937,7.03,8.47208661417323,20.0716929133858,20.3402755905512,23.56,11.12,11.12,15.9623228346457,17.0194094488189,11.4808661417323,4.41,4.55877952755906,10.3434251968504,12.9693700787402,5.66472440944882,9.69224409448819,11.93,11.3831102362205,9.6,16.45,4.22944881889764,13.3016535433071,23.3172440944882
2026-03-15 08:30:00,9.02251968503937,14.77,49.0900787401575,24.1100787401575,9.88220472440945,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.43,2.99051181102362,3.3,5.86397637795276,26.7994094488189,2.82137795275591,2.29047244094488,26.0133464566929,4.94566929133858,11.8105905511811,8.17795275590551,18.3084645669291,8.48,15.1594881889764,4.50255905511811,3.01,15.8857086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.6907480314961,9.60720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.16,21.2715748031496,9.69417322834646,30.16,12.251968503937,7.03,8.50208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.13,15.9623228346457,17.0194094488189,11.4808661417323,4.41,4.55877952755906,10.3434251968504,12.9693700787402,5.67472440944882,9.69224409448819,11.93,11.3831102362205,9.62,16.45,4.22944881889764,13.3016535433071,23.3172440944882
2026-03-15 08:35:00,9.03251968503937,14.77,49.0900787401575,24.1100787401575,9.89240157480315,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.48,2.99051181102362,3.3,5.86397637795276,26.8094094488189,2.82137795275591,2.29047244094488,26.0133464566929,4.94566929133858,11.8105905511811,8.19814960629921,18.3484645669291,8.48,15.1594881889764,4.50255905511811,3.01,15.9157086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.6907480314961,9.62720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.17,21.2715748031496,9.74468503937008,30.16,12.251968503937,7.03,8.55208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.13,15.9623228346457,17.0194094488189,11.4808661417323,4.41,4.55877952755906,10.3434251968504,12.9693700787402,5.68472440944882,9.69224409448819,11.93,11.3831102362205,9.65,16.45,4.22944881889764,13.3016535433071,23.3172440944882
2026-03-15 08:40:00,9.03251968503937,14.77,49.0900787401575,24.1100787401575,9.90259842519685,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.55,2.99051181102362,3.3,5.86397637795276,26.8094094488189,2.82137795275591,2.29047244094488,26.0133464566929,4.95547244094488,11.8105905511811,8.20826771653543,18.3884645669291,8.48,15.1594881889764,4.50255905511811,3.01,15.9357086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.6907480314961,9.64720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.17,21.2715748031496,9.7951968503937,30.16,12.251968503937,7.03,8.57208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.14,15.9623228346457,17.0194094488189,11.5008661417323,4.42,4.55877952755906,10.3434251968504,12.9693700787402,5.69472440944882,9.69224409448819,11.93,11.3831102362205,9.66,16.45,4.22944881889764,13.3016535433071,23.3172440944882
2026-03-15 08:45:00,9.03251968503937,14.77,49.0900787401575,24.1100787401575,9.90259842519685,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.62,2.99051181102362,3.3,5.86397637795276,26.8094094488189,2.82137795275591,2.29047244094488,26.0133464566929,4.97511811023622,11.8105905511811,8.20826771653543,18.4084645669291,8.48,15.1594881889764,4.50255905511811,3.01,15.9457086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.6907480314961,9.65720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.17,21.2715748031496,9.82551181102362,30.16,12.251968503937,7.03,8.62208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.15,15.9623228346457,17.0194094488189,11.5008661417323,4.42,4.55877952755906,10.3434251968504,12.9693700787402,5.70472440944882,9.69224409448819,11.93,11.3831102362205,9.69,16.45,4.22944881889764,13.3016535433071,23.3172440944882
2026-03-15 08:50:00,9.03251968503937,14.77,49.0900787401575,24.1100787401575,9.91279527559055,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.67,2.99051181102362,3.32,5.86397637795276,26.8094094488189,2.84157480314961,2.29047244094488,26.0233464566929,4.97511811023622,11.8105905511811,8.20826771653543,18.4084645669291,8.48,15.1594881889764,4.50255905511811,3.01,15.9557086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.6907480314961,9.66720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.17,21.2715748031496,9.84570866141732,30.16,12.251968503937,7.03,8.65208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.15,15.9623228346457,17.0194094488189,11.5108661417323,4.42,4.55877952755906,10.3434251968504,12.9693700787402,5.71472440944882,9.69224409448819,11.93,11.3831102362205,9.71,16.45,4.22944881889764,13.3016535433071,23.3172440944882
2026-03-15 08:55:00,9.03251968503937,14.77,49.0900787401575,24.1100787401575,9.91279527559055,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.68,2.99051181102362,3.34,5.86397637795276,26.8094094488189,2.86177165354331,2.29047244094488,26.0233464566929,4.98492125984252,11.8105905511811,8.20826771653543,18.4084645669291,8.48,15.1594881889764,4.50255905511811,3.02,15.9557086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.6907480314961,9.67720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.17,21.2715748031496,9.87602362204724,30.16,12.251968503937,7.03,8.67208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.16,15.9623228346457,17.0194094488189,11.5108661417323,4.42,4.55877952755906,10.3434251968504,12.9693700787402,5.72472440944882,9.69224409448819,11.93,11.3831102362205,9.72,16.45,4.22944881889764,13.3016535433071,23.3172440944882
2026-03-15 09:00:00,9.03251968503937,14.77,49.0900787401575,24.1100787401575,9.92299212598425,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.71,2.99051181102362,3.34,5.86397637795276,26.8194094488189,2.86177165354331,2.29047244094488,26.0233464566929,4.98492125984252,11.8105905511811,8.20826771653543,18.4084645669291,8.48,15.1594881889764,4.50255905511811,3.03,15.9557086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.7008661417323,9.68720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.17,21.2715748031496,9.89622047244095,30.16,12.251968503937,7.03,8.69208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.17,15.9623228346457,17.0194094488189,11.5108661417323,4.42,4.55877952755906,10.3434251968504,12.9693700787402,5.73472440944882,9.69224409448819,11.93,11.3831102362205,9.72,16.45,4.23933070866142,13.3016535433071,23.3172440944882
2026-03-15 09:05:00,9.03251968503937,14.77,49.0900787401575,24.1100787401575,9.92299212598425,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.72,2.99051181102362,3.35,5.86397637795276,26.8194094488189,2.87188976377953,2.29047244094488,26.0233464566929,4.99472440944882,11.8105905511811,8.21838582677166,18.4084645669291,8.48,15.1594881889764,4.50255905511811,3.03,15.9557086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.7008661417323,9.72720472440945,24.128937007874,15.7664960629921,11.5688976377953,9.17,21.2715748031496,9.90633858267717,30.16,12.251968503937,7.03,8.71208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.17,15.9623228346457,17.0194094488189,11.5108661417323,4.42,4.55877952755906,10.3434251968504,12.9693700787402,5.75472440944882,9.69224409448819,11.93,11.3831102362205,9.74,16.45,4.23933070866142,13.3016535433071,23.3172440944882
2026-03-15 09:10:00,9.03251968503937,14.77,49.0900787401575,24.1100787401575,9.93318897637795,2.15,17.3949606299213,11.8733464566929,10.5679527559055,17.3621653543307,8.91330708661417,8.87,18.0840157480315,26.06,12.5018503937008,12.22,35.72,2.99051181102362,3.35,5.86397637795276,26.8194094488189,2.87188976377953,2.29047244094488,26.0233464566929,4.99472440944882,11.8105905511811,8.21838582677166,18.4084645669291,8.48,15.1594881889764,4.51267716535433,3.04,15.9557086614173,6.20850393700787,15.6818897637795,11.8907086614173,5.37,33.7747244094488,6.45515748031496,50.279842519685,33.7109842519685,9.74720472440945,24.1388188976378,15.7664960629921,11.5688976377953,9.17,21.2715748031496,9.90633858267717,30.16,12.251968503937,7.03,8.72208661417323,20.0716929133858,20.3402755905512,23.56,11.13,11.17,15.9623228346457,17.0194094488189,11.5108661417323,4.42,4.55877952755906,10.3434251968504,12.9693700787402,5.76472440944882,9.69224409448819,11.93,11.3831102362205,9.76,16.45,4.23933070866142,13.3016535433071,23.3172440944882
