division,date,value
Hawaiʻi::Hilo,2022-01,63.61829549593298
Hawaiʻi::Kaʻu,2022-01,63.33535415848802
Hawaiʻi::Kona,2022-01,61.588412189254214
Hawaiʻi::Leeward Kohala,2022-01,67.00330347839031
Hawaiʻi::Windward Kohala,2022-01,62.97955209580839
Kauaʻi::Leeward Kauaʻi,2022-01,67.99954442055795
Kauaʻi::Windward Kauaʻi,2022-01,68.77214600727174
Maui::Leeward Maui Nui,2022-01,68.63801388147357
Maui::Windward Maui Nui,2022-01,65.77437645879466
Oʻahu::Koʻolau,2022-01,70.64153131093778
Oʻahu::Waianae,2022-01,71.65042977855478
Hawaiʻi::Hawaiʻi Mauka,2022-02,48.7485776975125
Hawaiʻi::Hilo,2022-02,63.62141177006192
Hawaiʻi::Kaʻu,2022-02,63.26019222141215
Hawaiʻi::Kona,2022-02,61.361086607858866
Hawaiʻi::Leeward Kohala,2022-02,67.13367240609338
Hawaiʻi::Windward Kohala,2022-02,62.910386826347306
Kauaʻi::Leeward Kauaʻi,2022-02,67.63107626737326
Kauaʻi::Windward Kauaʻi,2022-02,68.40907369377862
Maui::Leeward Maui Nui,2022-02,68.89880539241858
Maui::Windward Maui Nui,2022-02,66.17483915853731
Oʻahu::Koʻolau,2022-02,70.99195455149797
Oʻahu::Waianae,2022-02,72.2756993006993
Hawaiʻi::Hawaiʻi Mauka,2022-03,50.13877071552316
Hawaiʻi::Hilo,2022-03,65.04213912832341
Hawaiʻi::Kaʻu,2022-03,64.70464464976726
Hawaiʻi::Kona,2022-03,62.83975040096232
Hawaiʻi::Leeward Kohala,2022-03,68.53399679948396
Hawaiʻi::Windward Kohala,2022-03,64.35238083832336
Kauaʻi::Leeward Kauaʻi,2022-03,68.76843878112189
Kauaʻi::Windward Kauaʻi,2022-03,69.59178940546727
Maui::Leeward Maui Nui,2022-03,70.49662306460223
Maui::Windward Maui Nui,2022-03,67.60889266263689
Oʻahu::Koʻolau,2022-03,72.04536318915086
Oʻahu::Waianae,2022-03,73.31590909090909
Hawaiʻi::Hawaiʻi Mauka,2022-04,50.72370967214722
Hawaiʻi::Hilo,2022-04,65.47271533932258
Hawaiʻi::Kaʻu,2022-04,65.17151870338176
Hawaiʻi::Kona,2022-04,63.40348336006416
Hawaiʻi::Leeward Kohala,2022-04,68.8551155535156
Hawaiʻi::Windward Kohala,2022-04,64.8210005988024
Kauaʻi::Leeward Kauaʻi,2022-04,70.12546370362963
Kauaʻi::Windward Kauaʻi,2022-04,70.98742341098841
Maui::Leeward Maui Nui,2022-04,71.161025093433
Maui::Windward Maui Nui,2022-04,68.1496521335807
Oʻahu::Koʻolau,2022-04,72.0491972832831
Oʻahu::Waianae,2022-04,73.88855987762238
Hawaiʻi::Hawaiʻi Mauka,2022-05,52.00841532376688
Hawaiʻi::Hilo,2022-05,66.18866623163774
Hawaiʻi::Kaʻu,2022-05,65.86012772699232
Hawaiʻi::Kona,2022-05,64.10533279871692
Hawaiʻi::Leeward Kohala,2022-05,69.47535881754578
Hawaiʻi::Windward Kohala,2022-05,65.52475748502994
Kauaʻi::Leeward Kauaʻi,2022-05,70.78255549445055
Kauaʻi::Windward Kauaʻi,2022-05,71.63884325343389
Maui::Leeward Maui Nui,2022-05,71.97323144687667
Maui::Windward Maui Nui,2022-05,69.15664462265845
Oʻahu::Koʻolau,2022-05,73.19936569313951
Oʻahu::Waianae,2022-05,74.85971008158509
Hawaiʻi::Hawaiʻi Mauka,2022-06,51.81848952374726
Hawaiʻi::Hilo,2022-06,66.5001160920238
Hawaiʻi::Kaʻu,2022-06,66.13985089170546
Hawaiʻi::Kona,2022-06,64.29852145148357
Hawaiʻi::Leeward Kohala,2022-06,69.9161229097405
Hawaiʻi::Windward Kohala,2022-06,65.79423473053893
Kauaʻi::Leeward Kauaʻi,2022-06,71.92155753174683
Kauaʻi::Windward Kauaʻi,2022-06,72.77843598505251
Maui::Leeward Maui Nui,2022-06,72.92073545114789
Maui::Windward Maui Nui,2022-06,69.96623189598421
Oʻahu::Koʻolau,2022-06,74.6668265821663
Oʻahu::Waianae,2022-06,76.24028263403264
Hawaiʻi::Hawaiʻi Mauka,2022-07,53.56559139345602
Hawaiʻi::Hilo,2022-07,68.32525342964672
Hawaiʻi::Kaʻu,2022-07,67.98341301665639
Hawaiʻi::Kona,2022-07,66.2344977947073
Hawaiʻi::Leeward Kohala,2022-07,71.63703015680048
Hawaiʻi::Windward Kohala,2022-07,67.6330640718563
Kauaʻi::Leeward Kauaʻi,2022-07,73.89033565393461
Kauaʻi::Windward Kauaʻi,2022-07,74.70191556692701
Maui::Leeward Maui Nui,2022-07,74.20311665776828
Maui::Windward Maui Nui,2022-07,71.57033484948232
Oʻahu::Koʻolau,2022-07,74.94708939017904
Oʻahu::Waianae,2022-07,76.74957750582752
Hawaiʻi::Hawaiʻi Mauka,2022-08,53.326553255646715
Hawaiʻi::Hilo,2022-08,68.45310944518636
Hawaiʻi::Kaʻu,2022-08,68.11186276709103
Hawaiʻi::Kona,2022-08,66.30505713712911
Hawaiʻi::Leeward Kohala,2022-08,71.87789224929291
Hawaiʻi::Windward Kohala,2022-08,67.75325179640718
Kauaʻi::Leeward Kauaʻi,2022-08,73.46278278422159
Kauaʻi::Windward Kauaʻi,2022-08,74.32273178696471
Maui::Leeward Maui Nui,2022-08,74.82227709556861
Maui::Windward Maui Nui,2022-08,71.87460126279251
Oʻahu::Koʻolau,2022-08,76.82970938220174
Oʻahu::Waianae,2022-08,78.0972974941725
Hawaiʻi::Hawaiʻi Mauka,2022-09,53.321362730036284
Hawaiʻi::Hilo,2022-09,68.59093571688722
Hawaiʻi::Kaʻu,2022-09,68.24715803936964
Hawaiʻi::Kona,2022-09,66.38707898957497
Hawaiʻi::Leeward Kohala,2022-09,72.10054210291273
Hawaiʻi::Windward Kohala,2022-09,67.8860880239521
Kauaʻi::Leeward Kauaʻi,2022-09,74.01203442155784
Kauaʻi::Windward Kauaʻi,2022-09,74.88620135335309
Maui::Leeward Maui Nui,2022-09,74.79855178857449
Maui::Windward Maui Nui,2022-09,71.7705577832306
Oʻahu::Koʻolau,2022-09,76.92578609732317
Oʻahu::Waianae,2022-09,78.17675553613054
Hawaiʻi::Hawaiʻi Mauka,2022-10,53.221016245546366
Hawaiʻi::Hilo,2022-10,68.72880979118611
Hawaiʻi::Kaʻu,2022-10,68.41261777241883
Hawaiʻi::Kona,2022-10,66.62531575781877
Hawaiʻi::Leeward Kohala,2022-10,72.18385228005756
Hawaiʻi::Windward Kohala,2022-10,68.04276616766467
Kauaʻi::Leeward Kauaʻi,2022-10,72.73803463403661
Kauaʻi::Windward Kauaʻi,2022-10,73.53773145030972
Maui::Leeward Maui Nui,2022-10,74.31873331553658
Maui::Windward Maui Nui,2022-10,71.51556272068945
Oʻahu::Koʻolau,2022-10,75.77958141287006
Oʻahu::Waianae,2022-10,76.95262966200465
Hawaiʻi::Hawaiʻi Mauka,2022-11,50.39892949367503
Hawaiʻi::Hilo,2022-11,66.39418553478208
Hawaiʻi::Kaʻu,2022-11,66.06402963939207
Hawaiʻi::Kona,2022-11,64.1745514234162
Hawaiʻi::Leeward Kohala,2022-11,70.0188985510842
Hawaiʻi::Windward Kohala,2022-11,65.68335149700599
Kauaʻi::Leeward Kauaʻi,2022-11,71.1641398360164
Kauaʻi::Windward Kauaʻi,2022-11,71.9597091300835
Maui::Leeward Maui Nui,2022-11,72.19331954084356
Maui::Windward Maui Nui,2022-11,69.17585358190198
