island,division_type,name,date,mean,anomaly,pchange,rank,max
Hawaiʻi,moku,Hilo,2026-03,61.52375051331189,1.8093589590034966,1.8093589590034966,4.0,74.66580696105957
Hawaiʻi,moku,Hāmākua,2026-03,56.662385502210995,1.6323061433986155,1.6323061433986155,6.0,74.64838676452636
Hawaiʻi,moku,Kaʻū,2026-03,60.25016185749967,1.716239976337583,1.716239976337583,4.0,74.64838676452636
Hawaiʻi,moku,Kohala,2026-03,67.60795897334538,1.894374717641739,1.894374717641739,3.0,74.65419235229493
Hawaiʻi,moku,Kona,2026-03,63.03934407130167,1.8239266886086298,1.8239266886086298,4.0,74.64838676452636
Hawaiʻi,moku,Puna,2026-03,69.93410754759746,1.9067220081595622,1.9067220081595622,3.0,74.65419235229493
Kahoʻolawe,moku,Honuaʻula,2026-03,68.87337995860109,0.7849175883588799,0.7849175883588799,12.0,73.56838607788086
Kauaʻi,moku,Halele'a,2026-03,68.022294865643,1.1993848218570236,1.1993848218570236,9.0,73.85289764404297
Kauaʻi,moku,Kona,2026-03,67.63174584870849,1.210339022140218,1.210339022140218,10.0,73.87031784057618
Kauaʻi,moku,Koʻolau,2026-03,71.59665782942238,1.1032505076714756,1.1032505076714756,9.0,73.85289764404297
Kauaʻi,moku,Nāpali,2026-03,65.31818823346373,1.2715585548541952,1.2715585548541952,11.0,73.29547882080078
Kauaʻi,moku,Puna,2026-03,71.08457810718357,1.1168589143182857,1.1168589143182857,9.0,73.85289764404297
Lana'i,moku,Lāhainā,2026-03,70.27720500239349,0.7397790509813262,0.7397790509813262,12.0,73.56838607788086
Maui,moku,Hāmākualoa,2026-03,67.94539157006048,0.8462364541330629,0.8462364541330629,11.0,73.44645500183105
Maui,moku,Hāmākuapoko,2026-03,68.95064140436443,0.8009346088093281,0.8009346088093281,11.0,73.56258049011231
Maui,moku,Hāna,2026-03,68.1509375,0.8380014534883742,0.8380014534883742,11.0,73.55096588134765
Maui,moku,Kahikinui,2026-03,62.03151740541135,1.0701915145182568,1.0701915145182568,8.0,73.55096588134765
Maui,moku,Kaupō,2026-03,62.604201677720326,1.0790439523381323,1.0790439523381323,8.0,73.55096588134765
Maui,moku,Kipahulu,2026-03,63.415314797794125,1.053858305641974,1.053858305641974,8.0,73.47548294067383
Maui,moku,Koʻolau,2026-03,66.29641829229294,0.9215142308922424,0.9215142308922424,11.0,73.55677146911621
Maui,moku,Kula,2026-03,64.63270725614868,0.9770352239379463,0.9770352239379463,9.0,73.56838607788086
Maui,moku,Kāʻanapali,2026-03,69.45139547413793,0.7777235991379285,0.7777235991379285,11.0,73.56838607788086
Maui,moku,Lāhainā,2026-03,68.99707451923076,0.7993503605769234,0.7993503605769234,11.0,73.56838607788086
Maui,moku,Pūʻali Komohana,2026-03,70.78016455759936,0.7174707136144036,0.7174707136144036,12.0,73.56838607788086
Moloka'i,moku,Kona,2026-03,70.67527511583825,0.7225305391743859,0.7225305391743859,12.0,73.56838607788086
Moloka'i,moku,Koʻolau,2026-03,68.2545666231609,0.8331213662790731,0.8331213662790731,11.0,73.53354568481446
Ni'ihau,moku,Kona,2026-03,,,,,
Oʻahu,moku,Ko'olaupoko,2026-03,72.57241950757576,0.9722222222222143,0.9722222222222143,10.0,74.1316104888916
Oʻahu,moku,Kona,2026-03,71.64340266325857,0.9453065736312567,0.9453065736312567,10.0,74.11999588012695
Oʻahu,moku,Koʻolauloa,2026-03,71.30403114060677,0.9357387689614853,0.9357387689614853,11.0,74.11999588012695
Oʻahu,moku,Waialua,2026-03,70.06305309192473,0.8994046452371549,0.8994046452371549,13.0,74.12580146789551
Oʻahu,moku,Waiʻanae,2026-03,70.2766015625,0.9052038574218813,0.9052038574218813,12.0,74.11999588012695
Oʻahu,moku,ʻEwa,2026-03,71.38877844734716,0.9376615943980653,0.9376615943980653,11.0,74.11999588012695
