division,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
Hawaiʻi::Hawaiʻi Mauka,48.29632534403295,51.24535106070016,53.24379535351224,54.98182897231393,55.216042477037234,55.5805854280391,54.36997209328932,53.550792052103425,51.98571711666067,50.9512102441735,48.52978867714837,46.516147893308926,46.27135476252738,47.79109947537019,51.276494214362764,53.62528335730396,55.60420847906384,54.135317311149606,53.48098380348446,52.72959316673749,52.29126311574544,48.275055772562354,48.707496608701334,48.7485776975125,50.13877071552316,50.72370967214722,52.008415323766876,51.81848952374726,53.56559139345602,53.326553255646715,53.321362730036284,53.221016245546366,50.39892949367503,50.2040577092799,50.417135864413424,47.41607434707286,49.95195040532148,49.09067433726669,49.92910326708724,51.86761289347236,55.95513066714608,54.09541480077142,54.614272464289215,55.07252986794364,52.863633020625635,51.45830418723237,51.76148199751577,48.472865729088355,48.94993442127284,51.253194766776716,52.56884683587749,54.77892777759618,55.60846680613212,56.212921256496585,54.9157899682934,53.33343534468669,52.020087111430726,52.24962491419606,49.40444464419966,50.66242910960024,49.49864817932207
Hawaiʻi::Hilo,63.947493778074545,65.43783992958602,66.46173971105986,67.99227874226054,68.92007481485977,69.53472744931406,68.79997875440088,68.55089762656307,67.54143650600948,65.6745948160738,63.915186050746634,62.64971014932621,63.02906246206143,63.17946309335923,65.94588594148355,67.00481136943063,68.73734141677795,68.11919919266722,67.7897095423091,67.21412756464733,66.4604649751123,64.13874514386306,63.61829549593298,63.62141177006192,65.04213912832341,65.47271533932258,66.18866623163774,66.5001160920238,68.32525342964672,68.45310944518636,68.59093571688722,68.72880979118611,66.39418553478208,65.01123816316621,64.19027406822872,63.433727388612354,64.94732608959572,64.66542278742261,65.33048212334589,66.3974520456477,69.1308797195581,68.73249059123468,68.81061369430618,67.91053857593784,66.62890767269637,64.42210756343329,64.51075861964307,61.658052082068714,63.33231759135607,65.02612525798227,66.0174919570232,67.33613345271337,68.19540108656065,69.05804904698313,68.48419023916475,67.89140843146777,66.00541611023431,65.57381783416292,64.31277846910282,63.89985962729149,64.24001608595363
Hawaiʻi::Kaʻu,63.68085427065223,65.13095031125567,66.14680367057372,67.67534560596714,68.61704966070327,69.22481212495093,68.46087081487298,68.2259274577982,67.23616594694633,65.35183668891257,63.57378652347036,62.320645925635134,62.731320453143404,62.825028391565255,65.63770189557512,66.66515794122596,68.45941653580843,67.80783326790421,67.47000834221299,66.88553957994503,66.18533733385676,63.86936795468566,63.33535415848802,63.26019222141215,64.70464464976726,65.17151870338176,65.86012772699232,66.13985089170546,67.98341301665639,68.11186276709103,68.24715803936964,68.41261777241883,66.06402963939207,64.68669802590993,63.90215705793281,63.128102041388594,64.65323067971511,64.3594505355841,65.01998976501599,66.04526596937917,68.85170279288879,68.39555759632101,68.47526218383715,67.56641663395212,66.29106752285347,64.08918491671808,64.21367246649095,61.257015871235495,63.010415848802644,64.7412161404296,65.70747574448993,67.00049387303011,67.8270953676182,68.72063786383265,68.13219743704784,67.54643528125175,65.66959824182604,65.22829552464808,63.97726852111491,63.53088371375694,63.864554007066346
Hawaiʻi::Kona,61.93040797914996,63.37600240577386,64.40474639133922,65.952300521251,66.8969827586207,67.4921436447474,66.60187951082598,66.46220679631115,65.43946471531676,63.57927776663994,61.73972534081797,60.41055783881315,60.84954891740176,60.81609863672814,63.84754410585405,64.88427977145147,66.88021251002405,66.07111066559744,65.62611267040899,65.12678177626304,64.5635926222935,62.16222935044106,61.588412189254214,61.361086607858866,62.839750400962316,63.40348336006416,64.10533279871692,64.29852145148357,66.2344977947073,66.30505713712911,66.38707898957497,66.62531575781877,64.1745514234162,62.91074829591019,62.28057087008821,61.3051072574178,62.89675721732157,62.56513632718524,63.14309091820369,64.1691259021652,67.29253207698477,66.58898105453088,66.65464615076183,65.8673391138733,64.52549619085806,62.41705844025661,62.6269747393745,59.23787089013633,61.22373195669607,63.04204089815558,64.0174193063352,65.38210455092221,66.12018344025662,67.11145248596631,66.34656174819567,65.72609011627907,63.94129661186848,63.54439153969527,62.11945669607057,61.72139384522855,61.899909783480354
Hawaiʻi::Leeward Kohala,67.4164491638962,68.7501293231777,69.66613934649928,71.1503768049422,72.14597919664567,72.79260718007245,72.24349910683273,71.92205099737012,71.02672058750558,69.03703977075374,67.39893750310128,66.31650808812583,66.74097466878379,66.89672629385203,69.34494244033147,70.25022329181759,71.74506432044856,71.38325063266015,71.22192229444748,70.53133094328388,69.61685046891282,67.56124274301592,67.00330347839031,67.13367240609338,68.53399679948396,68.8551155535156,69.47535881754578,69.9161229097405,71.63703015680048,71.87789224929291,72.10054210291273,72.18385228005756,70.0188985510842,68.3841065846276,67.29880786979606,66.99321627053044,68.34146342976231,68.14718838386345,68.90955130749765,69.85887647000447,72.11220351808663,72.12118543144942,72.18441330074927,70.99177262690418,69.88648929439785,67.48794999503795,67.47668771398799,65.15825993648588,66.6891598025108,68.24864660348335,69.17334267850941,70.28945566416911,71.24021268545627,72.01963789510248,71.73875911774923,71.2845863519079,69.23133714583437,68.67186274996278,67.7976724929291,67.14198444400338,67.81806182702329
Hawaiʻi::Windward Kohala,63.30466766467066,64.79482245508981,65.83629491017965,67.36998922155689,68.29316826347306,68.89484520958084,68.12157275449101,67.86935449101796,66.86515119760479,65.00269820359281,63.20837844311377,61.93660299401198,62.329827544910174,62.46325928143713,65.2898359281437,66.35221856287424,68.14771856287425,67.4772616766467,67.1325886227545,66.54239880239521,65.84684970059881,63.487405389221564,62.97955209580839,62.910386826347306,64.35238083832336,64.8210005988024,65.52475748502994,65.79423473053893,67.6330640718563,67.75325179640718,67.8860880239521,68.04276616766467,65.68335149700599,64.33499520958084,63.5742634730539,62.74501856287425,64.29580479041917,63.98736077844312,64.65418802395209,65.70397065868264,68.53810838323353,68.04942455089821,68.14123532934133,67.26634910179641,65.96727185628743,63.78531077844311,63.91264730538922,60.95553293413174,62.67001946107784,64.41456706586825,65.39024520958084,66.70573532934132,67.53433353293414,68.41877215568863,67.81444640718563,67.2034488023952,65.33934670658684,64.91512874251498,63.62469850299401,63.22276766467066,63.51904550898203
Kauaʻi::Leeward Kauaʻi,68.04326317368263,69.44373687631237,70.60467140785921,72.55752393510649,73.48938074942507,74.17566618338165,74.04682719228077,73.4149610038996,71.70561568843115,70.28450592440757,69.15575442455754,67.45284627787221,67.72638798620139,68.18078910858915,70.89301382361764,71.95045589191082,73.47793783121688,73.4536908809119,73.0974249450055,72.1276397360264,70.93868425657435,68.71395485451455,67.99954442055795,67.63107626737326,68.76843878112189,70.12546370362963,70.78255549445055,71.92155753174683,73.89033565393461,73.46278278422159,74.01203442155784,72.73803463403661,71.1641398360164,68.6566305869413,66.92918301919808,68.3399803769623,68.46736826317368,68.62767598240177,69.68016573342666,71.50861695080492,73.6746553469653,74.34481270622939,74.10983776622338,72.11411296370363,70.99868856864313,67.88124843765624,66.82810343965605,66.19513486151385,67.17013673632637,68.57266617088291,69.75754674532547,72.32433756624337,73.18865050994901,74.27484189081092,73.81078079692031,73.30006218128187,71.05567255774423,70.10272691480853,67.92771472852715,67.9365900909909,69.45363588641136
Kauaʻi::Windward Kauaʻi,68.86202784136816,70.28207901292755,71.50890620791813,73.5344667384864,74.4169880319149,75.13915213439267,75.0372416172906,74.2346035045785,72.56958153784002,71.11650451117694,70.01806154053327,68.28473816657689,68.5764678157824,69.04867315849717,71.73142926878535,72.81970694182601,74.31963371936439,74.29799269458658,73.91729396714247,72.8904246902774,71.74082573054133,69.49002280837598,68.77214600727174,68.40907369377862,69.59178940546727,70.98742341098841,71.63884325343389,72.77843598505251,74.70191556692701,74.32273178696471,74.88620135335309,73.53773145030972,71.9597091300835,69.42202439065446,67.70859227713439,69.09109926272556,69.21859345542688,69.36775897185564,70.47222007137086,72.31471056086723,74.51547855507675,75.21281645569621,74.93814132776731,72.87903607258282,71.7423747643415,68.6320626009965,67.58830544707783,66.99106012658228,67.9384211722327,69.34456133854027,70.5377415499596,73.10455115472664,73.98899264408834,75.07236567465662,74.63056154053326,74.13575696875841,71.8070175733908,70.76095391193105,68.67685581066523,68.66512254241853,70.23379006194452
Maui::Leeward Maui Nui,68.8333522423919,70.27367859049653,71.68585824879872,73.89199479444741,74.60894287239722,75.32429925253604,74.90810531233316,74.5610684730379,73.14244193806726,71.28428323545114,69.85174519487454,68.20497530699413,68.21333756006408,68.47117592098238,71.44029631607049,72.7448545114789,74.29903897490658,73.8897156967432,73.61672784303256,72.9174819807795,71.83978910838228,69.33090296316071,68.63801388147357,68.89880539241858,70.49662306460223,71.161025093433,71.97323144687667,72.92073545114789,74.20311665776828,74.82227709556861,74.79855178857449,74.31873331553658,72.19331954084356,70.19368993593167,68.50373064602243,68.794811131874,69.57605445808863,70.0625,70.71411839295249,72.60476508275494,74.28132674853177,74.91593032568073,74.71879337960492,73.405072076882,72.18692271756541,69.54502469300587,69.09422717565403,66.66808929524827,68.33068606513615,69.74234516817938,71.30693739989323,73.04090363053925,74.03647891083823,74.88293179391351,74.5492859049653,73.96125867592099,71.6536205285638,71.05441137213028,69.3092698878804,69.03243459690336,70.00789508809396
Maui::Windward Maui Nui,65.94287734155245,67.57520797175175,68.85421965707104,70.88870967741936,71.64436980070622,72.37569722903825,71.77427770961756,71.70682753306602,70.2032905170866,68.48444550840864,66.99766667664133,65.2104120533844,65.2202353522054,65.38897861930695,68.48071548267401,69.86496573702794,71.52710964151056,70.95224803997846,70.43441408821593,70.15537247890359,69.09227474714226,66.52756224190557,65.77437645879466,66.17483915853731,67.60889266263689,68.1496521335807,69.15664462265845,69.96623189598421,71.57033484948232,71.87460126279251,71.7705577832306,71.51556272068945,69.17585358190198,67.55165629301574,66.19003194386258,65.91629249207014,66.92309645999163,67.21242593811718,67.62460051469267,69.51632279011312,71.73083704889581,71.93129900053863,71.71293763839847,70.84346796636544,69.4469638368544,67.10434945239092,66.75588156083549,63.80390283679454,65.63360838470285,67.00948291339996,68.60134882398708,70.555155155904,71.52662487282302,72.44160220539828,71.68061972589624,71.03518388293735,69.01118708480459,68.61875336644923,66.57719043629181,66.51887007002215,67.02352773954156
