island,division_type,name,date,mean,anomaly,pchange,rank,max
Hawai‘i,island,Hawai‘i,2026-03,62.495684201138246,1.7820676257950154,1.7820676257950154,4.0,74.66580696105957
Kaho‘olawe,island,Kaho‘olawe,2026-03,71.78225,0.6711328125000051,0.6711328125000051,12.0,73.56838607788086
Kaua‘i,island,Kaua‘i,2026-03,68.87855946644729,1.1766996709366424,1.1766996709366424,9.0,73.87031784057618
Lāna‘i,island,Lāna‘i,2026-03,70.42875037988148,0.7332714443093806,0.7332714443093806,12.0,73.56838607788086
Maui,island,Maui,2026-03,66.8218201490743,0.8875097679730715,0.8875097679730715,11.0,73.56838607788086
Moloka‘i,island,Moloka‘i,2026-03,70.4093306809846,0.7352730968294026,0.7352730968294026,12.0,73.56838607788086
O‘ahu,island,O‘ahu,2026-03,71.30414333405126,0.934887195778586,0.934887195778586,11.0,74.1316104888916
