division,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2024_01,2024_02,2024_03,2024_04,2024_05,2024_06,2024_07,2024_08,2024_09,2024_10,2024_11,2024_12,2025_01,2025_02,2025_03
Hawai‘i,61.42578944141272,63.12601631001288,64.30257219939911,65.86263357097866,66.68616575343229,67.25614635533086,66.43961755639663,66.09111143317409,65.01158702110936,63.26398948712088,61.38960362097893,60.02334684139822,60.32020301116506,60.67298591407979,63.55954882691654,64.80481162102353,66.5951142425543,65.83504144393224,65.46283619195202,64.83599072458598,64.15581720076477,61.57191734625054,61.20527316205776,61.175794736871445,62.60523247063808,63.07546251651347,63.8604961566118,64.07727244856437,65.88854508665042,65.96628715879129,66.08768248429479,66.19574077893411,63.786418820617726,62.5858076131974,61.94033244332466,60.83110385230687,62.51280135340777,62.13118718610472,62.8353834190826,64.01254131851348,66.97688894586926,66.33045055992508,66.4853828616659,65.78302275932418,64.36380414606546,62.278531652907766,62.417641123975045,59.48089064041606,60.982108038506354,62.792678331540316,63.8155285146517,65.24844285642618,66.09067497589172,66.91913109883555,66.24352030947776,65.49816665644735,63.699064654763966,63.36161795773666,61.875691614780465,61.70402594217359,61.815696297080805
Kaho‘olawe,71.66498473011364,72.90448224431819,74.4175848721591,76.77976207386364,77.47508238636364,78.18153125,77.93413352272728,77.35743039772727,76.01909588068182,74.02251491477273,72.65100568181818,71.13605255681819,71.15442649147727,71.45457776988636,74.31562855113637,75.52552769886364,76.99002521306818,76.73767045454545,76.68357457386364,75.62078196022728,74.5270262784091,72.09650213068181,71.43305894886365,71.56194176136364,73.30869921875001,74.08834659090908,74.71826988636363,75.79866299715908,76.79872407670454,77.70504900568181,77.75084161931818,77.07419886363637,75.14448508522727,72.78859126420454,70.78760298295455,71.62343004261363,72.18036257102273,72.85889417613637,73.71108806818182,75.59237571022727,76.7729609375,77.81895525568183,77.62650674715908,75.8969950284091,74.85129474431818,71.93019069602273,71.38386576704545,69.40787357954545,70.962828125,72.39441619318183,73.93616796875,75.46537215909092,76.48003267045455,77.27635049715909,77.32548295454546,76.80848473011363,74.2400713778409,73.44576065340908,71.9795948153409,71.47816122159091,72.89863991477273
Kaua‘i,68.67107768245387,70.08706075919615,71.29880126924434,73.30734075684569,74.20135151016571,74.91507227641321,74.80640204489364,74.04420319661534,72.36853625572923,70.9230696909155,69.81787519097426,68.09142525561171,68.37843092607827,68.84664546362674,71.53637912798214,72.61744917146551,74.1240421906217,74.10157480314962,73.72698025619931,72.71326830414856,71.5544129744976,69.3098072628981,68.592988306499,68.22789326007756,69.39996768127864,70.78707104242567,71.43937007874015,72.57894435303797,74.5137486778705,74.1232136561288,74.68288870607591,73.35198466329769,71.77489129157362,69.24449406510755,67.52744006346222,68.9167425666941,69.04390057586085,69.19524033376425,70.28809936537783,72.1276001880362,74.3196821013045,75.01112498530966,74.74566341520742,72.7014043953461,71.56982019038665,68.45786667058408,67.41178898813021,66.80601128217182,67.75998942296393,69.16526325067576,70.35650193912329,72.92279057468562,73.80264572805265,74.88684040427782,74.44009724997062,73.94138118462804,71.63218503937009,70.60795334351863,68.50243124926548,68.49577432718299,70.05232400987191
Lāna‘i,70.19881002127337,71.53670699741681,72.98462524692296,75.2614510522717,75.9755721964747,76.68983437167604,76.34888979638353,75.91059964291142,74.52915400395077,72.60264065111684,71.20348921136605,69.61764691916122,69.63615189560858,69.89540533353593,72.81770437623462,74.068166407081,75.58603175809148,75.2518737653852,75.0749311464823,74.21963797295244,73.134331788482,70.67394772830878,69.9823872701717,70.18033923415894,71.84536829509193,72.56300666691992,73.29110697462391,74.30174792964596,75.46153984956695,76.21026059869321,76.21775660993771,75.652615483969,73.61467482145571,71.4490498214557,69.61445449019905,70.16371894468926,70.83391961707947,71.41351000987692,72.14761909284303,74.02869909588208,75.48134402066555,76.30843954186294,76.10547884060173,74.59868655979335,73.4635366015803,70.69268775642,70.19829290761282,67.96295585777239,69.59614610241604,71.01046478498708,72.56569480322139,74.20544939978727,75.209337961556,76.03885237805804,75.87509402066556,75.32691080382921,72.90201527123537,72.20987786810515,70.5950772109102,70.20666074684698,71.38859453350554
Maui,66.29237835116615,67.90747625631161,69.2177536667468,71.27870957561913,72.02180737557106,72.7475324597259,72.17490570149074,72.05161622385188,70.55974017191633,68.82527500601105,67.34113180752584,65.57382483770137,65.57770986114451,65.77939972048569,68.85016755830728,70.233330578264,71.8744605073335,71.32206359701851,70.84405017732628,70.49059081209425,69.42628035585477,66.85669406708344,66.12580247655686,66.50724144926664,67.96632979682616,68.52498872926185,69.50421074777591,70.33182894025006,71.88004966638616,72.2331540033662,72.14387623226737,71.84978435320991,69.54333147992307,67.86794639636932,66.46110130139456,66.25951625991826,67.24159541055542,67.55486219644145,68.01300417768695,69.9087164132003,72.0422130470065,72.3026685351046,72.09463212310652,71.16198304880982,69.7880169511902,67.40243673358981,67.03962490983409,64.18318931834577,65.96464669992787,67.35267867876894,68.93916130680452,70.86062830608319,71.8371385849964,72.73534653762924,72.04409976857417,71.39852315761,69.33149119379658,68.91050883625871,66.91089842810771,66.83100354652561,67.40044181293581
Moloka‘i,70.1769928274513,71.51643878881734,72.9639650745782,75.23940113293668,75.9524726954112,76.66719934387481,76.32533010025267,75.88851577145653,74.50682614720026,72.58188320156492,71.1824827818078,69.59475558317712,69.61337873909855,69.87187245293015,72.7951279647893,74.04651509903007,75.56575107995761,75.2280585214769,75.05068923710164,74.19871882386502,73.11376640312983,70.65252974977585,69.96019031705926,70.16052907734942,71.82401886869346,72.53988252913848,73.26993133099683,74.27942375091695,75.44185803651479,76.18824680088026,76.19400521639906,75.63147770804467,73.59215960958514,71.42892554405412,69.59584674790122,70.14090874358138,70.81440266117858,71.39125285271824,72.12334644225282,74.00607323335235,75.46088923302634,76.28513122503873,76.08266973673486,74.57988375173201,73.44289927866981,70.67501324476322,70.1805803753362,67.93957789958432,69.57523840573805,70.99034151112559,72.54519622626131,74.18729368734208,75.18954224060641,76.01930882712529,75.85285577471677,75.30418330752303,72.88059642187628,72.19168177928111,70.5739154576575,70.18676746271089,71.36523453419187
O‘ahu,70.6290221839328,72.94211716562567,74.29940636441955,76.26440071074737,77.12456655179841,78.00584885849666,78.12824682317466,77.31403726039198,75.33304706009045,73.49466266422571,72.17444540167995,70.20195590135688,70.25159918156365,71.01986458108982,73.80775899203101,75.51051583028215,76.2657333620504,76.3789521860866,76.10456332112858,75.33515507215162,74.68567332543614,71.25433852035323,71.30014941847944,71.83005599827698,72.87430540598751,73.24949116950248,74.28297437001939,75.69396941632564,76.12339004953694,77.65674671548567,77.74201216885635,76.5455537906526,74.53398530045229,72.87212874219256,71.59330847512385,71.11729350635366,72.56004199870773,72.54757161318113,73.2080295606289,75.09161910402757,76.49149256945941,77.35963816497954,77.18069944001724,76.06707947447771,74.35683152056859,71.32961312728838,70.9887572690071,69.63820805513677,70.74245100150765,71.90458755115228,73.13620773206978,75.1057371311652,75.99003203747577,77.04723239284945,77.23749865388757,76.35008211285808,73.75459024337712,73.31789252638382,71.42586285806591,71.46760311221193,72.58215997200087
