division_full,date,mean,anomaly,pchange,rank
Statewide,1920-03,10.234854464055797,3.381813242599182,49.34762732800806,24.0
Statewide,1921-03,3.774274879494054,-3.078766341962561,-44.925548270789015,81.0
Statewide,1922-03,14.012616820922263,7.159575599465648,104.47296854204357,8.0
Statewide,1923-03,12.46469855372085,5.611657332264236,81.88564975640811,12.0
Statewide,1924-03,5.1901319073037,-1.6629093141529152,-24.265275232059142,72.0
Statewide,1925-03,10.395573170392266,3.5425319489356513,51.69284459933083,22.0
Statewide,1926-03,1.8231816708579283,-5.029859550598687,-73.39602065795819,105.0
Statewide,1927-03,10.19829159269961,3.3452503712429946,48.8140996550428,25.0
Statewide,1928-03,3.3187067083206268,-3.5343345131359882,-51.57322711076243,88.0
Statewide,1929-03,5.547183969339291,-1.305857252117324,-19.055149530236793,67.0
Statewide,1930-03,8.073981767342524,1.2209405458859086,17.81603971771233,43.0
Statewide,1931-03,3.1263374017744003,-3.7267038196822146,-54.380291891635565,91.0
Statewide,1932-03,3.879879959689082,-2.973161261767533,-43.3845524299296,79.0
Statewide,1933-03,7.91974039059856,1.0666991691419447,15.565340039136927,46.0
Statewide,1934-03,2.941745538886207,-3.911295682570408,-57.07386773516389,94.0
Statewide,1935-03,7.932388818920606,1.0793475974639914,15.749906684999859,45.0
Statewide,1936-03,7.699761637552041,0.846720416095426,12.35539651278291,47.0
Statewide,1937-03,10.951171106111891,4.098129884655276,59.800163930492424,17.0
Statewide,1938-03,9.605185844675223,2.7521446232186078,40.15946401433784,29.0
Statewide,1939-03,13.019892920910356,6.1668516994537415,89.98708019069782,11.0
Statewide,1940-03,6.428147822231016,-0.4248933992255992,-6.200070676581864,59.0
Statewide,1941-03,4.800754990319004,-2.052286231137611,-29.94708721015685,74.0
Statewide,1942-03,17.184606408854187,10.331565187397572,150.75883616531925,6.0
Statewide,1943-03,7.467028369063093,0.613987147606478,8.959338310764968,51.0
Statewide,1944-03,8.270510892057613,1.4174696706009984,20.683804821762255,40.0
Statewide,1945-03,8.355914851852345,1.5028736303957304,21.930024668322286,39.0
Statewide,1946-03,6.428115011781412,-0.42492620967520267,-6.2005494486852735,60.0
Statewide,1947-03,7.624446344169477,0.7714051227128618,11.25639110848511,49.0
Statewide,1948-03,11.830164144664115,4.9771229232075,72.62648453980279,14.0
Statewide,1949-03,4.807755099741853,-2.0452861217147618,-29.84494118189524,73.0
Statewide,1950-03,5.42102560325156,-1.432015618205055,-20.896060185972146,70.0
Statewide,1951-03,17.854746717820348,11.001705496363734,160.5375648685405,4.0
Statewide,1952-03,9.581958233719442,2.7289170122628272,39.8205252832668,30.0
Statewide,1953-03,9.496781212867798,2.6437399914111834,38.57761694375532,32.0
Statewide,1954-03,7.627076648546003,0.7740354270893883,11.29477267210815,48.0
Statewide,1955-03,7.047148123923099,0.19410690246648432,2.8324198876659734,55.0
Statewide,1956-03,5.280512118621587,-1.572529102835028,-22.946441616482595,71.0
Statewide,1957-03,2.280807877482719,-4.572233343973895,-66.71831083779861,102.0
Statewide,1958-03,9.573931704064838,2.7208904826082234,39.70340166770364,31.0
Statewide,1959-03,2.8441366386799003,-4.008904582776715,-58.4981828246558,98.0
Statewide,1960-03,7.966181394648627,1.1131401731920123,16.243010033367554,44.0
Statewide,1961-03,3.578727880903755,-3.27431334055286,-47.778982129876994,84.0
Statewide,1962-03,8.972478430820562,2.119437209363947,30.92695842435719,37.0
Statewide,1963-03,11.063475806695486,4.210434585238871,61.43892104509977,16.0
Statewide,1964-03,11.105212885954105,4.25217166449749,62.047951078772144,15.0
Statewide,1965-03,5.751074118422866,-1.1019671030337488,-16.079971904787776,64.0
Statewide,1966-03,2.847195939684988,-4.005845281771627,-58.45354131578073,97.0
Statewide,1967-03,10.76418544750473,3.9111442260481146,57.07165767225314,20.0
Statewide,1968-03,9.406296554952007,2.5532553334953922,37.257259236982925,34.0
Statewide,1969-03,9.375805804135725,2.52276458267911,36.812336321287965,35.0
Statewide,1970-03,2.31865459438984,-4.534386627066775,-66.16604921140384,100.0
Statewide,1971-03,7.44493162493697,0.5918904034803552,8.636901258191305,52.0
Statewide,1972-03,4.570007300871878,-2.283033920584737,-33.3141717203837,75.0
Statewide,1973-03,8.169348620159276,1.3163073987026612,19.207638713471503,42.0
Statewide,1974-03,9.089578378613668,2.236537157157053,32.63568808187727,36.0
Statewide,1975-03,6.284436959287208,-0.5686042621694067,-8.2971084485692,62.0
Statewide,1976-03,10.496875433542243,3.643834212085628,53.17105346859611,21.0
Statewide,1977-03,9.887153380157127,3.0341121587005118,44.273951675656356,27.0
Statewide,1978-03,5.490693124575754,-1.3623480968808606,-19.879467419740593,69.0
Statewide,1979-03,2.962909919402771,-3.890131302053844,-56.765035789862004,93.0
Statewide,1980-03,24.61070702308221,17.757665801625595,259.1209541542959,1.0
Statewide,1981-03,3.5743033917747593,-3.2787378296818557,-47.843544548021256,85.0
Statewide,1982-03,18.142979955494816,11.289938734038202,164.74348204253943,3.0
Statewide,1983-03,1.4674645839905678,-5.385576637466047,-78.58666631982322,107.0
Statewide,1984-03,2.5156001383944764,-4.337441083062139,-63.29220769140821,99.0
Statewide,1985-03,12.0232427037626,5.170201482305985,75.44389877764456,13.0
Statewide,1986-03,7.136177638398988,0.2831364169423729,4.131544051652329,54.0
Statewide,1987-03,2.9769631818086624,-3.8760780396479526,-56.55996971843825,92.0
Statewide,1988-03,5.525874129162819,-1.327167092293796,-19.366104031863774,68.0
Statewide,1989-03,7.044909357578506,0.19186813612189102,2.799751671143595,56.0
Statewide,1990-03,6.3825246027618485,-0.47051661869476646,-6.865807507790798,61.0
Statewide,1991-03,15.582965978334078,8.729924756877462,127.38760026051492,7.0
Statewide,1992-03,2.292691106739377,-4.560350114717238,-66.5449100238731,101.0
Statewide,1993-03,3.697444301789358,-3.155596919667257,-46.04666479733409,83.0
Statewide,1994-03,10.139282882538918,3.286241661082303,47.95304091843492,26.0
Statewide,1995-03,3.1402512522543096,-3.7127899692023054,-54.177260127630625,90.0
Statewide,1996-03,9.444975713652827,2.591934492196212,37.821667905352186,33.0
Statewide,1997-03,10.77155664344907,3.9185154219924554,57.179218617914195,19.0
Statewide,1998-03,2.2293893058702805,-4.6236519155863345,-67.46861380477114,104.0
Statewide,1999-03,6.726849936270025,-0.12619128518659029,-1.8413910132554012,57.0
Statewide,2000-03,3.265173324289347,-3.587867897167268,-52.35438955093088,89.0
Statewide,2001-03,3.338207217557489,-3.514834003899126,-51.28867447775322,87.0
Statewide,2002-03,6.524012066438415,-0.3290291550182003,-4.8012137149857255,58.0
Statewide,2003-03,2.861996091687499,-3.991045129769116,-58.23757658531665,96.0
Statewide,2004-03,13.469254159003974,6.616212937547359,96.54418708050733,10.0
Statewide,2005-03,8.21290222156322,1.3598610001066058,19.843175550278787,41.0
Statewide,2006-03,18.7822613435652,11.929220122108585,174.07191546956767,2.0
Statewide,2007-03,4.103601806548019,-2.749439414908596,-40.11998944789949,78.0
Statewide,2008-03,2.2317330575150693,-4.621308163941546,-67.43441363627586,103.0
Statewide,2009-03,10.322897176700693,3.4698559552440775,50.6323520188393,23.0
Statewide,2010-03,5.725819172232963,-1.1272220492236515,-16.448493636582278,65.0
Statewide,2011-03,5.830888256992204,-1.0221529644644107,-14.915319074166492,63.0
Statewide,2012-03,8.598624902426847,1.745583680970232,25.471664689610723,38.0
Statewide,2013-03,3.7253281655596413,-3.1277130558969737,-45.639781738131404,82.0
Statewide,2014-03,9.780721691221878,2.9276804697652627,42.720893909098415,28.0
Statewide,2015-03,5.708639680475453,-1.1444015409811623,-16.69917783943987,66.0
Statewide,2016-03,4.411735152455002,-2.4413060690016133,-35.62368866771114,76.0
Statewide,2017-03,3.375098612147409,-3.477942609309206,-50.75035297350756,86.0
Statewide,2018-03,7.544096339238748,0.6910551177821329,10.083918882881738,50.0
Statewide,2019-03,2.8776042417858165,-3.9754369796707985,-58.009821496824706,95.0
Statewide,2020-03,10.875229648425496,4.022188426968881,58.692021498069494,18.0
Statewide,2021-03,13.870806733151163,7.017765511694548,102.40366699856098,9.0
Statewide,2022-03,3.7865798672882076,-3.0664613541684074,-44.745993130282535,80.0
Statewide,2023-03,7.232890305396143,0.3798490839395283,5.542781250902666,53.0
Statewide,2024-03,1.8161537914489212,-5.036887430007694,-73.49857190756985,106.0
Statewide,2025-03,4.22386645143451,-2.6291747700221046,-38.36508033528614,77.0
Statewide,2026-03,17.687349819232825,10.83430859777621,158.09489900417347,5.0
